LOG_DATE,INQ_CNT,LOG_CITY_NM,LOG_AREA_NM,PLC_ID,PLC_NM,ADDR,SKSN_CGR_LCLS_NM,SKSN_CGR_LCLS_CD,SKSN_CGR_SCLS_NM,SKSN_CGR_SCLS_CD
20210117,2,Busan,Busan,866556,힐링과메기전문점,전라북도 군산시 중정길 11,한국음식,1,한정식,101
20210101,2,Busan,Busan,919056,황금순대,전라북도 군산시 미제길 41,한국음식,1,한정식,101
20210120,2,Busan,Busan,925049,화산붕어찜,전라북도 군산시 부곡로 6,한국음식,1,한정식,101
20210110,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210117,2,Busan,Busan,364335,군산향토음식관아리랑,전라북도 군산시 해망로 224,한국음식,1,한정식,101
20210108,2,Busan,Busan,959762,원조김밥천국(오식도점),전라북도 군산시 가도로 175,한국음식,1,한정식,101
20210103,2,Busan,Busan,757466,진포갈치고등어조림,전라북도 군산시 구영6길 137,한국음식,1,한정식,101
20210115,2,Busan,Busan,686703,군산항횟집,전라북도 군산시 내항2길 153,한국음식,1,한정식,101
20210125,2,Busan,Busan,1015036,대야장터국밥,전라북도 군산시 대야면 만경로 1933,한국음식,1,한정식,101
20210129,2,Busan,Busan,935495,소달구지곱창막창,전라북도 군산시 칠성6길 144,한국음식,1,한정식,101
20210113,2,Busan,Busan,1033366,으뜸족발,전라북도 군산시 대야면 석화로 1,한국음식,1,한정식,101
20210123,4,Busan,Busan,1256885,구구족발,전라북도 군산시 문화로 52,한국음식,1,한정식,101
20210106,2,Busan,Busan,1252517,송자네 등갈비,전라북도 군산시 칠성안4길 16,한국음식,1,한정식,101
20210116,2,Busan,Busan,890263,장원기사식당,전라북도 군산시 공항로 125,한국음식,1,한정식,101
20210117,2,Busan,Busan,480517,정선,전라북도 군산시 나운안1길 33,한국음식,1,한정식,101
20210122,2,Busan,Busan,1256885,구구족발,전라북도 군산시 문화로 52,한국음식,1,한정식,101
20210111,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210116,4,Busan,Busan,958044,완도회집,전라북도 군산시 비응로 41,한국음식,1,한정식,101
20210112,2,Busan,Busan,480554,민선초가,전라북도 군산시 부곡4길 12-2,한국음식,1,한정식,101
20210129,2,Busan,Busan,1018998,현주순대국밥,전라북도 군산시 칠성4길 144,한국음식,1,한정식,101
20210116,2,Busan,Busan,743624,해돋이해장국,전라북도 군산시 나운4길 11,한국음식,1,한정식,101
20210107,4,Busan,Busan,1256885,구구족발,전라북도 군산시 문화로 52,한국음식,1,한정식,101
20210117,2,Busan,Busan,465298,서양식당0654,전라북도 군산시 동수송1길 19,한국음식,1,한정식,101
20210113,2,Busan,Busan,417255,할머니백숙,전라북도 군산시 계산2길 78,한국음식,1,한정식,101
20210115,2,Busan,Busan,1060604,나리네집,전라북도 군산시 설림안1길 16,한국음식,1,한정식,101
20210101,2,Busan,Busan,890267,코오롱가든,전라북도 군산시 소룡안3길 31,한국음식,1,한정식,101
20210108,2,Busan,Busan,1017755,자매탕찜,전라북도 군산시 부곡로 148,한국음식,1,한정식,101
20210113,2,Busan,Busan,686721,오복식당,전라북도 군산시 구영3길 78,한국음식,1,한정식,101
20210121,2,Busan,Busan,465182,갈무리군산대점,전라북도 군산시 황룡로 10,한국음식,1,한정식,101
20210129,2,Busan,Busan,268776,한주옥,전라북도 군산시 영화동 15-11,한국음식,1,한정식,101
20210119,2,Busan,Busan,718515,부산세꼬시,전라북도 군산시 하신2길 12-3,한국음식,1,한정식,101
20210116,2,Busan,Busan,448077,경원해물찜아구찜,전라북도 군산시 궁포1로 24-3,한국음식,1,한정식,101
20210119,4,Busan,Busan,1256885,구구족발,전라북도 군산시 문화로 52,한국음식,1,한정식,101
20210130,2,Busan,Busan,1080475,어부네포차,전라북도 군산시 가도로 202,한국음식,1,한정식,101
20210109,2,Busan,Busan,1080475,어부네포차,전라북도 군산시 가도로 202,한국음식,1,한정식,101
20210108,2,Busan,Busan,465182,갈무리군산대점,전라북도 군산시 황룡로 10,한국음식,1,한정식,101
20210116,2,Busan,Busan,890142,백두개가든,전라북도 군산시 백토로 284-37,한국음식,1,한정식,101
20210127,2,Busan,Busan,890681,장수영양돌솥밥,전라북도 군산시 상지곡안4길 69,한국음식,1,한정식,101
20210129,2,Busan,Busan,925049,화산붕어찜,전라북도 군산시 부곡로 6,한국음식,1,한정식,101
20210101,2,Busan,Busan,940280,오식도착한장어,전라북도 군산시 요죽길 39,한국음식,1,한정식,101
20210105,4,Busan,Busan,1127510,군산김치찜,전라북도 군산시 진포로 230-1,한국음식,1,한정식,101
20210102,2,Busan,Busan,687321,등대포차,전라북도 군산시 동메1길 12-3,한국음식,1,한정식,101
