,LABEL-1,LABEL-3,LABEL-4,LABEL-5,LABEL-12,review,store,score_new,pos_neg
1,https://lh3.googleusercontent.com/a-/AOh14Gj5KtDvC9stuYLkLIz2im9ScXqrco7Y3ZgVYvYuXdo=w45-h45-p-c0x00000000-rp-mo-ba6-br100,J-do SONG,지역 가이드,・리뷰 424개,1년 전,동네 유일의 커피숍인가요 몇개 있을법한데 한참 찾아 헤매여봐도 안보이더군요  양으로 승부하는곳인지ㅎ 맛도 나쁘진 않았어요  관광객 많은 시간이어서인지 몰라도 회용컵사용은 개선되어졌으면 싶어요  그점외엔 좋아요,카페드선유,0.2782493531703949,부정
3,https://lh3.googleusercontent.com/a/AATXAJzwA8cnQqWZPRbRRiWpGJ5PsiG_8dbIkUEfK2b2=w45-h45-p-c0x00000000-rp-mo-ba3-br100,Seung Hun Lee,지역 가이드,・리뷰 25개,3달 전,커피맛이 % 부족합니다,카페드선유,0.13101375102996826,부정
6,https://lh3.googleusercontent.com/a-/AOh14GgUjLmur4gWidO5BEmDNpMFlPEg7axLYd4Qv37ZxA=w45-h45-p-c0x00000000-rp-mo-ba6-br100,백진영,지역 가이드,・리뷰 502개,1달 전,"커피맛도 ㅠ
서비스도 ㅠ",카페드선유,0.045174211263656616,부정
15,https://lh3.googleusercontent.com/a-/AOh14GgX6koFVMfPeYJl7qsnMxx7eNyqL5vxcEAVgd-PvtE=w45-h45-p-c0x00000000-rp-mo-ba4-br100,bs park,지역 가이드,・리뷰 191개,11달 전,그 카페근처에 짬뽕집 정말 정말 맛없음  서비스 개떡 그 동네도 두번다시 가기 싫어졌음,카페드선유,0.008588284254074097,부정
18,https://lh3.googleusercontent.com/a/AATXAJypHKAVmbCb3QXX2htcN8QqU3D5ycXja-eC-gYT=w45-h45-p-c0x00000000-rp-mo-ba4-br100,최현주,지역 가이드,・리뷰 92개,3년 전,"바다  보이는 커피숍 입니다
부부간에  운영하시는듯 사람이 만을땐
조금 늦게 나옵니다 선유도식당들은 대체로 바가지 입니다
커피숍편의점 등은 몰라도
숙박 비싸고 주중할인도 별로고 횟집들도
바가지가 심한편 입니다

차라리 채석강(강추)또는 비응항 이런데서 회는 드시길

선유도식당들은 대체로 바가지 입니다
커피숍편의점 등은 몰라도
숙박 비싸고 주중할인도 별로고 횟집들도
바가지가 심한편 입니다

차라리 채석강(강추)또는 비응항 이런데서 회는 드시길",카페드선유,0.037293314933776855,부정
25,https://lh3.googleusercontent.com/a/AATXAJwcynvBOiv_l5nKJsK5JiQnw-9daB0DsjPNjKM9=w45-h45-p-c0x00000000-rp-mo-br100,Choonja Hwang,지역 가이드,리뷰 6개,1년 전,과하게 로스팅 된 맛없는 커피 인테리어나 분위기도 별로 가격 비싸요,카페드선유,0.04083186388015747,부정
37,https://lh3.googleusercontent.com/a/AATXAJwR9bZ1zEou_veXfJzV8r-ou6iodxE_y7jm1gkp=w45-h45-p-c0x00000000-rp-mo-br100,홍정미,지역 가이드,리뷰 17개,2년 전,커피맛이  가격에 비해 형편없다,카페드선유,0.028364360332489014,부정
39,https://lh3.googleusercontent.com/a-/AOh14GjlThfuXZKQ783TGYTUBnJuEFfhy4FcJGHgdfG2=w45-h45-p-c0x00000000-rp-mo-ba4-br100,아놕,지역 가이드,・리뷰 109개,3년 전,섬에서보이는 유일한 카페 가격은 비싸다 당연히,카페드선유,0.31425443291664124,부정
41,https://lh3.googleusercontent.com/a/AATXAJwEX_7MpjLRf357fz73zGCB04YvgphWjHN2RncW=w45-h45-p-c0x00000000-rp-mo-ba4-br100,Gary Ha,지역 가이드,・리뷰 218개,1년 전,이름이나 사진에 비하면 특별할건 없어요,카페드선유,0.43665510416030884,부정
49,https://lh3.googleusercontent.com/a/AATXAJxxMAIEUAmoEyoIpzMrmAaQY8SUo31aISvZiKEC=w45-h45-p-c0x00000000-rp-mo-br100,HyoJin Jeon,지역 가이드,리뷰 12개,3년 전,전망좋은 카페인데 썰물일땐 뻘만보임 ㅠ,카페드선유,0.4689690172672272,부정
57,https://lh3.googleusercontent.com/a-/AOh14Gi9BM89TKSECqls6NUvZZsRZX18fY6VsJvzWSzZdg=w45-h45-p-c0x00000000-rp-mo-br100,이현순,지역 가이드,리뷰 4개,2년 전,"섬다리로 연결되어 교통이매우 편리하게  아름다운풍경을  감상할수 있어  매우좋았으나
차량이많아 혼잡스럽다",카페드선유,0.4802369773387909,부정
59,https://lh3.googleusercontent.com/a-/AOh14Gj_gG_AUBd-SV0xRcFFOWY-15cGISNL4GpKtyRS=w45-h45-p-c0x00000000-rp-mo-ba3-br100,최영철,지역 가이드,・리뷰 28개,2년 전,선유도 멋진곳이다,카페드선유,0.46742478013038635,부정
62,https://lh3.googleusercontent.com/a/AATXAJxtlkWld0E1-BXP73ez-wM7zYhDSNHz5UvPedHA=w45-h45-p-c0x00000000-rp-mo-br100,ki chool song,지역 가이드,리뷰 6개,2년 전,차 막히면 외통수 음식 그냥 소소,카페드선유,0.057734549045562744,부정
65,https://lh3.googleusercontent.com/a/AATXAJz8FpyzheiCPqPC1y4YYiiMwBZvLnHA__TsRKjw=w45-h45-p-c0x00000000-rp-mo-br100,김수현,지역 가이드,리뷰 19개,3년 전,주변이 정리가 안된,카페드선유,0.27826935052871704,부정
67,https://lh3.googleusercontent.com/a-/AOh14GgzgRPIggOQ4sRv3f9s2lwdFxRp1bM4X2c4rqLzxA=w45-h45-p-c0x00000000-rp-mo-br100,안준,지역 가이드,리뷰 10개,2년 전,아메리카노 너무 맛없음,카페드선유,0.006446152925491333,부정
68,https://lh3.googleusercontent.com/a-/AOh14Gjy0Te6WPon3Vzu1tz-E9gVMPKI4yV8ueBIIn-Xyw=w45-h45-p-c0x00000000-rp-mo-ba6-br100,전종호,지역 가이드,・리뷰 238개,1년 전,커피맛은 별로,카페드선유,0.0114116370677948,부정
69,https://lh3.googleusercontent.com/a-/AOh14GiZGXInzb9AM1rDsp4z7sHTR0PdAgcQfPh8_cJo5w=w45-h45-p-c0x00000000-rp-mo-ba4-br100,유명석,지역 가이드,・리뷰 220개,2년 전,개장한지 얼마 안되어 정비가 덜 된 느낌!,카페드선유,0.06607532501220703,부정
72,https://lh3.googleusercontent.com/a-/AOh14GhkOmSDaFS9iMG_ApHVkvMOd3welyvwxvTfmuxrEA=w45-h45-p-c0x00000000-rp-mo-ba3-br100,K독서왕 워렌버핏,지역 가이드,・리뷰 28개,3년 전,나물 외엔 요리맛이  별로였음,카페드선유,0.016368240118026733,부정
74,https://lh3.googleusercontent.com/a-/AOh14Gg6q5O8xXqLJDNnvVgBh_yg5i4p1WMT4-N13xSsQA=w45-h45-p-c0x00000000-rp-mo-ba5-br100,조영재,지역 가이드,・리뷰 480개,3년 전,"난 옆에 횟집에 다녀옴  횟집은 그저 그럼
여긴 사람이 너무 많아서 다음 기회에~~",카페드선유,0.07818591594696045,부정
76,https://lh3.googleusercontent.com/a/AATXAJzHveSpTbi8-EomVh9KvJQBFLzT4idREuwcZLJL=w45-h45-p-c0x00000000-rp-mo-ba2-br100,재생목록 1쯔리,지역 가이드,・리뷰 28개,2년 전,커피만 드세요 그 외는 옆 할리스 가세요,카페드선유,0.44961246848106384,부정
85,https://lh3.googleusercontent.com/a/AATXAJzMFC_Ft5cZ53Y5ft529CWgjz1J01T2EtaW0YqX=w45-h45-p-c0x00000000-rp-mo-ba3-br100,J.W KIM,지역 가이드,・리뷰 26개,3년 전,가격이 전체적으로 비싸단 느낌이고 화장실이 내부에 없고 밖에 있는데 시설 별루에여,카페드선유,0.0034707486629486084,부정
86,https://lh3.googleusercontent.com/a/AATXAJxeDjJxZXox1-hrdliLxN7DBvq2d-XYrI7spt6Z=w45-h45-p-c0x00000000-rp-mo-ba5-br100,Kyu Sung Choi,지역 가이드,・리뷰 196개,3년 전,차한잔할만한곳입니다~,카페드선유,0.4838857352733612,부정
89,https://lh3.googleusercontent.com/a/AATXAJwvhLcfJ63r0OWEZy0bKej3ZuamQvyPF3a7UlKY=w45-h45-p-c0x00000000-rp-mo-ba4-br100,고석용,지역 가이드,・리뷰 229개,3년 전,가격이 비쌈 분위기도 영,카페드선유,0.3600861132144928,부정
