지역,구분,2018,2019,2020
"전국","현지인(a)","1,352,489,642","7,984,439,648","8,231,797,994"
"전국","외지인(b)","2,734,990,786","2,948,191,358","2,467,299,655"
"전국","외국인(c)","52,487,043","71,620,649","14,083,558"
"전국","외부방문자(b+c)","2,787,477,829","3,019,812,007","2,481,383,213"
"전국","전년외부방문자(b'+c')","0","2,787,477,829","3,019,812,007"
"전국","외부방문자 전년대비증감률(%)","0","8","-18"
"서울특별시","현지인(a)","259,522,134","1,490,496,458","1,547,166,964"
"서울특별시","외지인(b)","585,384,894","648,561,588","483,312,564"
"서울특별시","외국인(c)","20,897,826","27,677,860","3,949,566"
"서울특별시","외부방문자(b+c)","606,282,720","676,239,448","487,262,130"
"서울특별시","전년외부방문자(b'+c')","0","606,282,720","676,239,448"
"서울특별시","외부방문자 전년대비증감률(%)","0","12","-28"
"부산광역시","현지인(a)","77,003,000","472,292,712","478,526,010"
"부산광역시","외지인(b)","145,717,600","149,672,134","124,725,884"
"부산광역시","외국인(c)","3,910,899","5,284,413","939,414"
"부산광역시","외부방문자(b+c)","149,628,499","154,956,548","125,665,298"
"부산광역시","전년외부방문자(b'+c')","0","149,628,499","154,956,548"
"부산광역시","외부방문자 전년대비증감률(%)","0","4","-19"
"대구광역시","현지인(a)","68,730,844","420,170,975","398,842,112"
"대구광역시","외지인(b)","104,424,348","106,502,840","86,201,112"
"대구광역시","외국인(c)","692,762","984,702","220,591"
"대구광역시","외부방문자(b+c)","105,117,110","107,487,542","86,421,703"
"대구광역시","전년외부방문자(b'+c')","0","105,117,110","107,487,542"
"대구광역시","외부방문자 전년대비증감률(%)","0","2","-20"
"인천광역시","현지인(a)","64,303,386","384,857,484","413,559,342"
"인천광역시","외지인(b)","153,429,882","177,054,619","135,966,530"
"인천광역시","외국인(c)","6,120,279","9,006,523","2,221,779"
"인천광역시","외부방문자(b+c)","159,550,161","186,061,142","138,188,309"
"인천광역시","전년외부방문자(b'+c')","0","159,550,161","186,061,142"
"인천광역시","외부방문자 전년대비증감률(%)","0","17","-26"
"광주광역시","현지인(a)","43,734,890","255,828,195","235,517,016"
"광주광역시","외지인(b)","63,518,182","65,535,267","56,610,108"
"광주광역시","외국인(c)","319,125","503,517","124,916"
"광주광역시","외부방문자(b+c)","63,837,307","66,038,784","56,735,024"
"광주광역시","전년외부방문자(b'+c')","0","63,837,307","66,038,784"
"광주광역시","외부방문자 전년대비증감률(%)","0","3","-14"
"대전광역시","현지인(a)","42,514,381","254,808,953","245,623,948"
"대전광역시","외지인(b)","82,200,738","83,144,173","69,473,159"
"대전광역시","외국인(c)","385,112","483,927","146,783"
"대전광역시","외부방문자(b+c)","82,585,850","83,628,100","69,619,942"
"대전광역시","전년외부방문자(b'+c')","0","82,585,850","83,628,100"
"대전광역시","외부방문자 전년대비증감률(%)","0","1","-17"
"울산광역시","현지인(a)","28,625,824","175,156,478","175,627,718"
"울산광역시","외지인(b)","45,732,718","47,793,760","43,244,282"
"울산광역시","외국인(c)","700,503","1,068,907","290,750"
"울산광역시","외부방문자(b+c)","46,433,222","48,862,667","43,535,032"
"울산광역시","전년외부방문자(b'+c')","0","46,433,222","48,862,667"
"울산광역시","외부방문자 전년대비증감률(%)","0","5","-11"
"세종특별자치시","현지인(a)","6,674,360","43,174,579","48,203,670"
"세종특별자치시","외지인(b)","23,021,856","25,170,582","23,921,040"
"세종특별자치시","외국인(c)","87,731","114,821","42,918"
"세종특별자치시","외부방문자(b+c)","23,109,587","25,285,404","23,963,959"
"세종특별자치시","전년외부방문자(b'+c')","0","23,109,587","25,285,404"
"세종특별자치시","외부방문자 전년대비증감률(%)","0","9","-5"
"경기도","현지인(a)","320,690,380","1,844,056,179","2,003,733,739"
"경기도","외지인(b)","584,520,363","655,389,497","548,938,292"
"경기도","외국인(c)","6,739,081","9,359,910","2,752,765"
"경기도","외부방문자(b+c)","591,259,444","664,749,407","551,691,057"
"경기도","전년외부방문자(b'+c')","0","591,259,444","664,749,407"
"경기도","외부방문자 전년대비증감률(%)","0","12","-17"
"강원도","현지인(a)","51,314,596","292,021,044","317,416,442"
"강원도","외지인(b)","133,465,633","143,757,912","131,065,291"
"강원도","외국인(c)","1,754,100","1,854,111","376,639"
"강원도","외부방문자(b+c)","135,219,733","145,612,023","131,441,930"
"강원도","전년외부방문자(b'+c')","0","135,219,733","145,612,023"
"강원도","외부방문자 전년대비증감률(%)","0","8","-10"
"충청북도","현지인(a)","42,935,410","261,236,952","260,620,402"
"충청북도","외지인(b)","101,864,945","105,067,452","93,383,798"
"충청북도","외국인(c)","590,243","781,505","171,666"
"충청북도","외부방문자(b+c)","102,455,188","105,848,957","93,555,464"
"충청북도","전년외부방문자(b'+c')","0","102,455,188","105,848,957"
"충청북도","외부방문자 전년대비증감률(%)","0","3","-12"
"충청남도","현지인(a)","55,374,680","338,338,329","348,016,504"
"충청남도","외지인(b)","148,008,816","154,606,564","138,428,948"
"충청남도","외국인(c)","1,115,090","1,655,436","383,908"
"충청남도","외부방문자(b+c)","149,123,906","156,262,000","138,812,856"
"충청남도","전년외부방문자(b'+c')","0","149,123,906","156,262,000"
"충청남도","외부방문자 전년대비증감률(%)","0","5","-11"
"전라북도","현지인(a)","52,956,460","315,324,188","311,365,792"
"전라북도","외지인(b)","89,167,253","92,151,059","83,792,698"
"전라북도","외국인(c)","646,399","915,657","210,737"
"전라북도","외부방문자(b+c)","89,813,652","93,066,716","84,003,436"
"전라북도","전년외부방문자(b'+c')","0","89,813,652","93,066,716"
"전라북도","외부방문자 전년대비증감률(%)","0","4","-10"
"전라남도","현지인(a)","47,175,275","285,471,109","288,599,482"
"전라남도","외지인(b)","111,307,102","117,585,839","110,317,383"
"전라남도","외국인(c)","1,480,448","2,108,190","473,254"
"전라남도","외부방문자(b+c)","112,787,550","119,694,029","110,790,637"
"전라남도","전년외부방문자(b'+c')","0","112,787,550","119,694,029"
"전라남도","외부방문자 전년대비증감률(%)","0","6","-7"
"경상북도","현지인(a)","76,646,682","468,310,745","461,942,320"
"경상북도","외지인(b)","165,693,220","172,036,882","152,541,333"
"경상북도","외국인(c)","1,277,589","1,700,946","413,369"
"경상북도","외부방문자(b+c)","166,970,809","173,737,828","152,954,702"
"경상북도","전년외부방문자(b'+c')","0","166,970,809","173,737,828"
"경상북도","외부방문자 전년대비증감률(%)","0","4","-12"
"경상남도","현지인(a)","86,288,104","518,211,897","534,506,987"
"경상남도","외지인(b)","146,715,002","151,265,289","139,194,072"
"경상남도","외국인(c)","1,606,063","2,199,427","560,694"
"경상남도","외부방문자(b+c)","148,321,065","153,464,716","139,754,766"
"경상남도","전년외부방문자(b'+c')","0","148,321,065","153,464,716"
"경상남도","외부방문자 전년대비증감률(%)","0","3","-9"
"제주특별자치도","현지인(a)","27,999,237","164,683,372","162,529,546"
"제주특별자치도","외지인(b)","50,818,236","52,895,899","46,183,160"
"제주특별자치도","외국인(c)","4,163,791","5,920,797","803,809"
"제주특별자치도","외부방문자(b+c)","54,982,027","58,816,696","46,986,969"
"제주특별자치도","전년외부방문자(b'+c')","0","54,982,027","58,816,696"
"제주특별자치도","외부방문자 전년대비증감률(%)","0","7","-20"
