,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,
기초지자체,구분,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6
군산시,전체,"17,930","16,507","17,548","20,362","32,665","17,613","24,496","36,974","21,522","28,444","21,967","24,434","23,248","25,216","22,088","28,345","33,237","28,760","31,869","45,956","29,474","36,766","30,568","33,669","34,918","38,330","38,160","47,934","62,970","45,496","48,294","68,104","49,710","71,139","46,330","55,549","50,863","53,175","61,111","68,372","86,158","68,845","73,547","94,647","77,229","82,343","68,522","71,528","67,733","81,002","83,733","82,652","95,378","92,338","91,188","131,153","84,155","117,756","99,581","93,892","87,077","51,100","65,322","86,619","120,578","97,837","102,297","136,897","96,524","122,514","96,458","65,947","64,822","85,504","88,086","97,127","118,245","105,693"
군산시,자연관광지,"1,372","1,338","1,749","2,573","4,186","2,007","2,648","4,187","2,402","3,090","1,852","1,840","1,719","1,802","2,022","3,730","4,094","3,458","3,583","4,674","3,146","4,239","2,937","2,465","2,437","2,580","3,255","6,536","7,894","5,506","5,189","8,268","6,149","9,196","4,363","4,787","6,802","6,482","8,739","11,078","12,641","10,871","9,782","13,272","12,281","12,205","8,484","6,695","6,797","8,930","9,712","13,400","13,131","12,355","12,127","21,384","11,877","17,606","12,339","8,827","8,939","5,480","10,364","13,872","18,331","13,072","12,537","18,286","14,940","18,668","11,585","8,733","7,869","10,994","10,973","14,617","17,003","14,458"
군산시,역사관광지,668,650,644,572,"1,088",409,650,"1,112",469,640,470,695,786,778,632,687,912,813,833,"1,430",777,"1,011",861,971,"1,276","1,411","1,100","1,251","1,955","1,218","1,215","2,055","1,139","1,926","1,002","1,293","1,098","1,194","1,253","1,153","1,406",989,969,"1,550","1,077","1,102",973,"1,136","1,128","1,670","1,530","1,218","1,433","1,256","1,148","1,686",772,"1,241","1,136","1,081","1,096",555,642,"1,006","1,519","1,061","1,120","2,013",832,"1,354","1,105",683,720,"1,137",991,"1,398","1,737","1,313"
군산시,휴양관광지,33,14,18,21,94,19,33,60,46,42,21,32,28,25,25,44,81,49,42,56,52,46,38,24,35,28,58,86,79,41,31,51,61,101,27,20,21,20,53,45,84,54,29,36,67,73,39,24,39,40,75,64,94,101,49,81,75,104,63,37,43,19,33,51,78,105,105,97,134,242,115,39,55,138,96,130,283,219
군산시,공연/행사,20,37,67,50,92,49,77,76,110,127,149,117,42,67,72,99,104,92,110,84,98,159,183,181,62,94,170,125,140,174,172,136,235,198,325,447,233,323,433,398,699,655,797,"1,291",872,747,930,"1,097",744,"1,088",786,801,997,"1,099",946,"1,087",879,951,"1,179","1,236","1,008",417,310,336,385,475,651,831,459,624,571,273,281,366,451,526,616,679
군산시,문화시설,320,309,265,266,952,344,704,"1,532",603,"1,161",689,647,676,737,326,378,537,486,575,"1,090",438,339,360,698,"1,237","1,524","1,292","1,281","1,989","1,219","1,520","3,035","1,268","1,805",884,"1,071","1,033","1,459","1,699","1,690","2,379","1,665","1,950","3,221","1,666","1,954","1,453","1,816","2,026","2,674","2,478","1,793","2,426","2,396","2,438","4,472","1,828","2,971","2,142","2,382","2,521",740,540,769,"1,881","1,395","1,510","2,804",654,"1,665","1,479",549,729,"1,391","1,143","1,081","1,669","1,375"
군산시,레포츠(육상/해상/항공),58,68,164,276,350,269,234,328,508,655,287,90,55,78,227,363,541,475,324,517,728,761,529,375,444,330,399,658,883,825,540,942,"1,353","1,713",804,550,543,466,789,978,"1,348","1,205","1,192","1,324","2,292","2,298","1,894",669,586,521,907,"1,407","1,594","1,745","1,298","2,641","2,682","3,902","2,636",764,764,513,609,891,"1,726","2,032","2,087","2,908","4,102","4,856","3,036","1,147",634,811,964,"1,459","2,207","2,114"
군산시,쇼핑,585,469,544,520,762,416,459,714,536,634,523,613,724,719,644,776,860,729,713,853,764,823,806,"1,013","1,127","1,044","1,110","1,484","1,776","1,235","1,509","2,070","1,843","2,246","1,517","1,571","1,366","1,678","2,110","3,976","9,116","5,430","5,730","6,464","5,996","5,288","4,985","5,532","4,942","5,644","5,639","4,919","5,931","5,603","5,600","6,856","6,073","6,719","6,442","6,611","6,106","3,046","4,016","5,234","7,465","5,927","5,634","6,742","5,875","7,113","5,887","4,660","4,762","5,664","6,273","5,733","7,060","5,969"
군산시,식음료,"11,180","10,233","10,497","11,689","18,724","10,530","14,760","21,789","12,307","15,869","13,369","15,760","14,911","15,646","13,812","16,459","19,730","17,081","19,271","27,936","17,565","21,522","18,175","20,812","21,733","23,195","23,482","27,152","36,466","26,589","28,544","38,656","28,163","39,944","27,171","34,392","29,643","30,758","35,023","36,253","44,179","35,253","39,382","50,696","39,214","41,438","36,821","41,962","40,267","45,384","48,365","44,123","51,529","50,780","51,059","69,112","45,050","64,075","54,752","55,922","51,578","31,532","39,537","52,418","71,890","58,080","61,955","79,433","52,981","66,438","54,663","36,879","38,568","49,890","51,729","53,624","66,080","59,736"
군산시,숙박,"1,812","1,559","1,613","2,263","3,654","1,660","2,606","4,086","2,096","3,570","2,353","2,392","2,084","2,690","1,961","2,960","3,384","2,867","3,226","5,200","2,828","4,330","3,446","3,805","3,172","4,459","3,578","5,050","6,432","4,437","4,936","7,052","5,003","7,435","5,214","6,036","4,851","5,310","5,484","6,558","7,671","6,249","7,148","9,583","6,823","10,087","6,888","6,722","5,294","7,744","7,344","7,580","9,731","9,164","8,702","13,259","7,413","11,553","10,676","9,303","6,991","4,334","4,945","7,091","10,546","10,209","11,107","16,738","11,399","13,741","11,077","8,045","6,768","9,042","9,430","11,194","13,103","12,508"
군산시,기타관광지,"1,882","1,830","1,987","2,132","2,763","1,910","2,325","3,090","2,445","2,656","2,254","2,248","2,223","2,674","2,367","2,849","2,994","2,710","3,192","4,116","3,078","3,536","3,233","3,325","3,395","3,665","3,716","4,311","5,356","4,252","4,638","5,839","4,496","6,575","5,023","5,382","5,273","5,485","5,528","6,243","6,635","6,474","6,568","7,210","6,941","7,151","6,055","5,875","5,910","7,307","6,897","7,347","8,512","7,839","7,821","10,575","7,506","8,634","8,216","7,729","8,031","4,464","4,326","4,951","6,757","5,481","5,591","7,045","5,148","7,813","6,940","4,939","4,436","6,071","6,036","7,365","8,487","7,322"
