기초지자체,구분,2015,2016,2017,2018,2019,2020
전라북도 전체,전체,"1,397,727","1,897,986","3,080,096","4,008,849","5,322,220","5,580,440"
전라북도 전체,자연관광지,"125,233","159,103","245,540","326,488","403,961","474,215"
전라북도 전체,역사관광지,"97,715","112,085","170,041","167,095","198,662","185,390"
전라북도 전체,휴양관광지,"40,781","46,412","62,385","77,766","93,877","67,329"
전라북도 전체,공연/행사,"18,279","27,601","43,759","63,372","87,656","44,016"
전라북도 전체,문화시설,"30,103","37,132","68,981","86,189","122,740","90,483"
전라북도 전체,레포츠(육상/해상/항공),"41,088","58,175","94,145","118,315","159,759","190,783"
전라북도 전체,쇼핑,"32,164","45,089","85,567","144,302","186,761","209,610"
전라북도 전체,식음료,"601,457","857,275","1,428,776","1,946,552","2,685,819","2,962,745"
전라북도 전체,숙박,"190,298","266,815","420,859","509,719","657,808","716,093"
전라북도 전체,기타관광지,"220,609","288,299","460,043","569,051","725,177","639,776"
군산시,전체,"280,462","369,196","606,934","856,340","1,120,561","1,129,170"
군산시,자연관광지,"29,244","37,869","66,160","119,332","148,485","154,807"
군산시,역사관광지,"8,067","10,491","16,841","13,900","15,299","12,986"
군산시,휴양관광지,433,510,618,545,822,"1,061"
군산시,공연/행사,971,"1,291","2,278","8,475","11,793","6,340"
군산시,문화시설,"7,792","6,640","18,125","21,985","30,026","16,507"
군산시,레포츠(육상/해상/항공),"3,287","4,973","9,441","14,998","20,683","24,671"
군산시,쇼핑,"6,775","9,424","18,532","57,671","70,979","67,705"
군산시,식음료,"166,707","222,920","355,487","460,622","620,418","657,384"
군산시,숙박,"29,664","38,781","62,804","83,374","107,763","116,223"
군산시,기타관광지,"27,522","36,297","56,648","75,438","94,293","71,486"
