LOG_DATE,INQ_CNT,LOG_CITY_NM,LOG_AREA_NM,PLC_ID,PLC_NM,ADDR,SKSN_CGR_LCLS_NM,SKSN_CGR_LCLS_CD,SKSN_CGR_SCLS_NM,SKSN_CGR_SCLS_CD
20210227,2,Busan,Busan,899775,연도식당민박,전라북도 군산시 옥도면 연도1길 28,한국음식,1,한정식,101
20210201,2,Busan,Busan,145301,계곡가든꽃게장군산본부점,전라북도 군산시 개정면 금강로 470,한국음식,1,한정식,101
20210216,2,Busan,Busan,1032101,박가네숯불갈비,전라북도 군산시 소룡안1길 47,한국음식,1,한정식,101
20210223,2,Busan,Busan,907819,운수대통,전라북도 군산시 임피면 호원대3길 48-3,한국음식,1,한정식,101
20210210,2,Busan,Busan,686703,군산항횟집,전라북도 군산시 내항2길 153,한국음식,1,한정식,101
20210224,2,Busan,Busan,890460,황소고을,전라북도 군산시 임피면 동문길 1,한국음식,1,한정식,101
20210227,2,Busan,Busan,364335,군산향토음식관아리랑,전라북도 군산시 해망로 224,한국음식,1,한정식,101
20210228,2,Busan,Busan,268776,한주옥,전라북도 군산시 영화동 15-11,한국음식,1,한정식,101
20210219,2,Busan,Busan,413594,경원해물찜.탕,전라북도 군산시 칠성안1길 25,한국음식,1,한정식,101
20210215,2,Busan,Busan,925049,화산붕어찜,전라북도 군산시 부곡로 6,한국음식,1,한정식,101
20210206,2,Busan,Busan,145301,계곡가든꽃게장군산본부점,전라북도 군산시 개정면 금강로 470,한국음식,1,한정식,101
20210225,2,Busan,Busan,1103979,전설의스테이크갈비 군산본점,전라북도 군산시 서수송안2길 9,한국음식,1,한정식,101
20210201,2,Busan,Busan,398831,안동집,전라북도 군산시 아리랑로 39,한국음식,1,한정식,101
20210217,2,Busan,Busan,1035526,경춘면옥,전라북도 군산시 한밭로 76-9,한국음식,1,한정식,101
20210207,2,Busan,Busan,418382,노방촌가든,전라북도 군산시 회현면 자골윗길 62,한국음식,1,한정식,101
20210206,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210215,2,Busan,Busan,1257971,해바라기분식&식당,전라북도 군산시 회현면 회현로 175,한국음식,1,한정식,101
20210228,2,Busan,Busan,1205161,경암골,전라북도 군산시 경촌안3길 49,한국음식,1,한정식,101
20210212,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210201,2,Busan,Busan,364335,군산향토음식관아리랑,전라북도 군산시 해망로 224,한국음식,1,한정식,101
20210204,4,Busan,Busan,925049,화산붕어찜,전라북도 군산시 부곡로 6,한국음식,1,한정식,101
20210201,6,Busan,Busan,686933,수연궁,전라북도 군산시 구시장로 74,한국음식,1,한정식,101
20210221,2,Busan,Busan,928739,금강산아나고,전라북도 군산시 구암3.1로 207,한국음식,1,한정식,101
20210207,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210227,2,Busan,Busan,1103979,전설의스테이크갈비 군산본점,전라북도 군산시 서수송안2길 9,한국음식,1,한정식,101
20210201,4,Busan,Busan,961319,해와달연탄구이,전라북도 군산시 미성로 562,한국음식,1,한정식,101
20210221,2,Busan,Busan,398844,경산옥,전라북도 군산시 구영7길 115,한국음식,1,한정식,101
20210207,2,Busan,Busan,907590,군산꼬막,전라북도 군산시 의료원로 78,한국음식,1,한정식,101
20210213,2,Busan,Busan,845299,군산꼬기냉면,전라북도 군산시 팔마로 61-1,한국음식,1,한정식,101
20210215,2,Busan,Busan,1169224,어은동장어집,전라북도 군산시 옥구읍 남군산로 1539,한국음식,1,한정식,101
20210225,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210206,2,Busan,Busan,919060,청해물회굴찜,전라북도 군산시 가도로 172,한국음식,1,한정식,101
20210211,2,Busan,Busan,409995,신자네연탄구이,전라북도 군산시 부곡1길 17,한국음식,1,한정식,101
20210227,4,Busan,Busan,861111,섬마을,전라북도 군산시 하나운안2길 12,한국음식,1,한정식,101
20210227,2,Busan,Busan,145301,계곡가든꽃게장군산본부점,전라북도 군산시 개정면 금강로 470,한국음식,1,한정식,101
20210224,2,Busan,Busan,145301,계곡가든꽃게장군산본부점,전라북도 군산시 개정면 금강로 470,한국음식,1,한정식,101
20210214,2,Busan,Busan,687976,가림뚝배기,전라북도 군산시 나운5길 12,한국음식,1,한정식,101
20210205,2,Busan,Busan,865324,전설의스테이크갈비군산본점,전라북도 군산시 서수송안2길 9,한국음식,1,한정식,101
20210206,2,Busan,Busan,1147662,군산집,전라북도 군산시 비응4길 19,한국음식,1,한정식,101
20210223,2,Busan,Busan,890186,별미백반생선탕,전라북도 군산시 미제길 22,한국음식,1,한정식,101
20210201,2,Busan,Busan,1162803,무지개수산,전라북도 군산시 소룡1길 21,한국음식,1,한정식,101
20210221,2,Busan,Busan,686703,군산항횟집,전라북도 군산시 내항2길 153,한국음식,1,한정식,101
20210206,2,Busan,Busan,1058002,신창동도가니탕전문점,전라북도 군산시 거석길 3-1,한국음식,1,한정식,101
20210227,2,Busan,Busan,448077,경원해물찜아구찜,전라북도 군산시 궁포1로 24-3,한국음식,1,한정식,101
20210204,2,Busan,Busan,911747,소룡맛집,전라북도 군산시 풍전5길 36-7,한국음식,1,한정식,101
20210214,2,Busan,Busan,145301,계곡가든꽃게장군산본부점,전라북도 군산시 개정면 금강로 470,한국음식,1,한정식,101
20210214,2,Busan,Busan,268776,한주옥,전라북도 군산시 영화동 15-11,한국음식,1,한정식,101
20210216,8,Busan,Busan,890259,처가집한방옻닭오리,전라북도 군산시 칠성6길 188,한국음식,1,한정식,101
20210210,2,Busan,Busan,890259,처가집한방옻닭오리,전라북도 군산시 칠성6길 188,한국음식,1,한정식,101
20210202,4,Busan,Busan,927243,지산가든,전라북도 군산시 계산2길 98,한국음식,1,한정식,101
20210222,2,Busan,Busan,1162698,통통배,전라북도 군산시 진포로 205,한국음식,1,한정식,101
20210223,2,Busan,Busan,1187335,유쾌한돈미장직영점,전라북도 군산시 미장안7길 6,한국음식,1,한정식,101
20210214,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210217,2,Busan,Busan,919060,청해물회굴찜,전라북도 군산시 가도로 172,한국음식,1,한정식,101
20210228,2,Busan,Busan,925049,화산붕어찜,전라북도 군산시 부곡로 6,한국음식,1,한정식,101
20210220,2,Busan,Busan,1081198,정가네묵은지생갈비찜,전라북도 군산시 진포로 169,한국음식,1,한정식,101
20210219,2,Busan,Busan,268776,한주옥,전라북도 군산시 영화동 15-11,한국음식,1,한정식,101
20210227,2,Busan,Busan,728139,군산산꼼장어,전라북도 군산시 동메1길 9-4,한국음식,1,한정식,101
20210211,2,Busan,Busan,925352,부흥장어,전라북도 군산시 조촌안5길 71,한국음식,1,한정식,101
20210204,2,Busan,Busan,422791,뚱보식당,전라북도 군산시 오룡로 58-2,한국음식,1,한정식,101
20210225,2,Busan,Busan,824664,족발타령대야순대,전라북도 군산시 해망로 23,한국음식,1,한정식,101
20210213,2,Busan,Busan,1017755,자매탕찜,전라북도 군산시 부곡로 148,한국음식,1,한정식,101
20210204,2,Busan,Busan,1007583,돼지사냥,전라북도 군산시 하신재길 8,한국음식,1,삼겹살/목살,102
20210201,2,Busan,Busan,1034524,은행나무갈매기 군산5호점,전라북도 군산시 공단대로 583,한국음식,1,삼겹살/목살,102
20210221,2,Busan,Busan,890184,우리목살집,전라북도 군산시 미제3길 3,한국음식,1,삼겹살/목살,102
20210201,2,Busan,Busan,444839,양푼갈비스토리,전라북도 군산시 수송안1길 15-8,한국음식,1,삼겹살/목살,102
20210219,2,Busan,Busan,945863,화로구이,전라북도 군산시 칠성안1길 17,한국음식,1,삼겹살/목살,102
20210208,2,Busan,Busan,1007583,돼지사냥,전라북도 군산시 하신재길 8,한국음식,1,삼겹살/목살,102
20210203,2,Busan,Busan,920271,지리산흑돼지연탄생구이,전라북도 군산시 신평3길 8,한국음식,1,삼겹살/목살,102
20210206,2,Busan,Busan,767636,돼지꿈,전라북도 군산시 경촌1길 56,한국음식,1,삼겹살/목살,102
20210214,2,Busan,Busan,398840,진갈비,전라북도 군산시 구영1길 108-7,한국음식,1,돼지갈비/갈매기살,103
20210217,2,Busan,Busan,347919,갈비스토리,전라북도 군산시 하나운1길 15,한국음식,1,불고기/갈비살/차돌박이,104
20210211,2,Busan,Busan,339541,훈이네,전라북도 군산시 구영5길 118-1,한국음식,1,꽃등심/등심/육회,105
20210217,2,Busan,Busan,1162234,명작갈비한우,전라북도 군산시 월명1길 3,한국음식,1,꽃등심/등심/육회,105
20210217,2,Busan,Busan,874780,구불길,전라북도 군산시 월명로 452,한국음식,1,꽃등심/등심/육회,105
20210208,2,Busan,Busan,1195545,설도 군산점,전라북도 군산시 동수송5길 17,한국음식,1,꽃등심/등심/육회,105
20210226,2,Busan,Busan,459424,찰보리오리향,전라북도 군산시 하나운안1길 8-6,한국음식,1,오리 훈제/구이/로스/탕,106
20210218,2,Busan,Busan,1168274,밥주걱,전라북도 군산시 팔마로 93-1,한국음식,1,닭볶음탕/닭갈비/닭발,107
20210206,2,Busan,Busan,1168274,밥주걱,전라북도 군산시 팔마로 93-1,한국음식,1,닭볶음탕/닭갈비/닭발,107
20210206,2,Busan,Busan,375633,운정식당,전라북도 군산시 중정길 8-2,한국음식,1,삼계탕/백숙/찜닭,108
20210204,4,Busan,Busan,890499,후계자농장닭집,전라북도 군산시 대야면 만경로 1934,한국음식,1,삼계탕/백숙/찜닭,108
20210201,4,Busan,Busan,334966,거시기삼계탕,전라북도 군산시 성산면 동군산로 275,한국음식,1,삼계탕/백숙/찜닭,108
20210226,2,Busan,Busan,890499,후계자농장닭집,전라북도 군산시 대야면 만경로 1934,한국음식,1,삼계탕/백숙/찜닭,108
20210228,2,Busan,Busan,1033896,군산통닭(미룡산북소룡점),전라북도 군산시 칠성5길 32,한국음식,1,치킨/훈제,109
20210218,4,Busan,Busan,1033896,군산통닭(미룡산북소룡점),전라북도 군산시 칠성5길 32,한국음식,1,치킨/훈제,109
20210204,2,Busan,Busan,890235,BHC치킨 군산산북소룡점,전라북도 군산시 공단대로 563,한국음식,1,치킨/훈제,109
20210216,2,Busan,Busan,1223679,푸라닭 군산나운점,전라북도 군산시 나운로 56,한국음식,1,치킨/훈제,109
20210203,2,Busan,Busan,1228635,푸라닭 군산조촌점,전라북도 군산시 궁포1로 24-3,한국음식,1,치킨/훈제,109
20210206,2,Busan,Busan,1032767,완스통닭,전라북도 군산시 서수송2길 18,한국음식,1,치킨/훈제,109
20210204,2,Busan,Busan,1086123,자담치킨 군산미장점,전라북도 군산시 미장1길 30,한국음식,1,치킨/훈제,109
20210219,2,Busan,Busan,948967,BBQ치킨 군산산북소룡점,전라북도 군산시 칠성7길 96,한국음식,1,치킨/훈제,109
20210222,2,Busan,Busan,408867,치르치르 군산수송점,전라북도 군산시 동수송6길 8,한국음식,1,치킨/훈제,109
20210202,2,Busan,Busan,1184852,BHC치킨 군산롯데몰점,전라북도 군산시 궁포3로 7,한국음식,1,치킨/훈제,109
20210211,2,Busan,Busan,929206,주경야닭,전라북도 군산시 미제2길 24,한국음식,1,치킨/훈제,109
20210227,2,Busan,Busan,716676,홍씨네닭강정,전라북도 군산시 신금길 18,한국음식,1,치킨/훈제,109
20210220,2,Busan,Busan,701820,장터치킨,전라북도 군산시 하나운안1길 51,한국음식,1,치킨/훈제,109
20210221,2,Busan,Busan,456348,BHC치킨 군산나운2점,전라북도 군산시 나운안길 34,한국음식,1,치킨/훈제,109
20210206,4,Busan,Busan,259718,나리곱창,전라북도 군산시 나운동 791-1,한국음식,1,곱창/양/대창/막창,111
20210203,2,Busan,Busan,259718,나리곱창,전라북도 군산시 나운동 791-1,한국음식,1,곱창/양/대창/막창,111
20210228,2,Busan,Busan,279035,원할머니보쌈족발 군산수송점,전라북도 군산시 수송동 810-1 2F,한국음식,1,족발/보쌈,112
20210207,4,Busan,Busan,1191672,족발야시장 군산미장점,전라북도 군산시 미장1길 38,한국음식,1,족발/보쌈,112
20210217,2,Busan,Busan,777596,매운족발보쌈6시내고향,전라북도 군산시 팔마로 150,한국음식,1,족발/보쌈,112
20210219,2,Busan,Busan,687404,장충동비엔에프족발보쌈,전라북도 군산시 백토로 215,한국음식,1,족발/보쌈,112
20210207,2,Busan,Busan,687441,성일추어탕,전라북도 군산시 한밭1길 17,한국음식,1,해물탕/해물요리/꽃게,113
20210212,2,Busan,Busan,458640,군산해물찜,전라북도 군산시 동수송9길 15,한국음식,1,해물탕/해물요리/꽃게,113
20210201,2,Busan,Busan,364327,몽실정,전라북도 군산시 조촌동 900-11,한국음식,1,해물탕/해물요리/꽃게,113
20210207,2,Busan,Busan,385870,아복식당,전라북도 군산시 금암동 6-5,한국음식,1,해물탕/해물요리/꽃게,113
20210201,2,Busan,Busan,260039,송정식당,전라북도 군산시 대명동 191-2,한국음식,1,해물탕/해물요리/꽃게,113
20210204,2,Busan,Busan,756286,일품아구,전라북도 군산시 남수송5길 45,한국음식,1,해물탕/해물요리/꽃게,113
20210214,2,Busan,Busan,364339,유성꽃게장,전라북도 군산시 동수송8길 18,한국음식,1,해물탕/해물요리/꽃게,113
20210213,2,Busan,Busan,906663,청기와아구북찜,전라북도 군산시 조촌4길 24-4,한국음식,1,해물탕/해물요리/꽃게,113
