LOG_DATE,INQ_CNT,LOG_CITY_NM,LOG_AREA_NM,PLC_ID,PLC_NM,ADDR,SKSN_CGR_LCLS_NM,SKSN_CGR_LCLS_CD,SKSN_CGR_SCLS_NM,SKSN_CGR_SCLS_CD
20210323,2,Busan,Busan,1227169,군산의밥상,전라북도 군산시 소룡2길 52-1,한국음식,1,한정식,101
20210307,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210319,2,Busan,Busan,890472,솔향,전라북도 군산시 서수면 서수문화길 33,한국음식,1,한정식,101
20210319,2,Busan,Busan,1083693,군산사오정,전라북도 군산시 백릉로 203,한국음식,1,한정식,101
20210305,2,Busan,Busan,966712,구암포차,전라북도 군산시 백릉로 234,한국음식,1,한정식,101
20210322,2,Busan,Busan,946954,예가명태찜,전라북도 군산시 계산로 87-8,한국음식,1,한정식,101
20210330,2,Busan,Busan,925352,부흥장어,전라북도 군산시 조촌안5길 71,한국음식,1,한정식,101
20210327,2,Busan,Busan,686716,한미옥,전라북도 군산시 구영3길 50,한국음식,1,한정식,101
20210322,2,Busan,Busan,769343,강천국밥,전라북도 군산시 나운안길 27,한국음식,1,한정식,101
20210331,2,Busan,Busan,434155,최가밥상,전라북도 군산시 수송안1길 17-8,한국음식,1,한정식,101
20210316,2,Busan,Busan,260035,완주옥,전라북도 군산시 죽성동 26-2,한국음식,1,한정식,101
20210318,2,Busan,Busan,686933,수연궁,전라북도 군산시 구시장로 74,한국음식,1,한정식,101
20210328,2,Busan,Busan,145301,계곡가든꽃게장군산본부점,전라북도 군산시 개정면 금강로 470,한국음식,1,한정식,101
20210312,4,Busan,Busan,268776,한주옥,전라북도 군산시 영화동 15-11,한국음식,1,한정식,101
20210306,2,Busan,Busan,687954,황금애삼겹살,전라북도 군산시 대학로 370,한국음식,1,한정식,101
20210323,2,Busan,Busan,1018998,현주순대국밥,전라북도 군산시 칠성4길 144,한국음식,1,한정식,101
20210320,2,Busan,Busan,718515,부산세꼬시,전라북도 군산시 하신2길 12-3,한국음식,1,한정식,101
20210329,2,Busan,Busan,145301,계곡가든꽃게장군산본부점,전라북도 군산시 개정면 금강로 470,한국음식,1,한정식,101
20210327,2,Busan,Busan,1061315,본전집,전라북도 군산시 하나운3길 14,한국음식,1,한정식,101
20210306,2,Busan,Busan,1015036,대야장터국밥,전라북도 군산시 대야면 만경로 1933,한국음식,1,한정식,101
20210316,2,Busan,Busan,415669,가장맛있는족발,전라북도 군산시 동수송안길 23,한국음식,1,한정식,101
20210324,2,Busan,Busan,1149333,우진정육상회,전라북도 군산시 조촌2길 27,한국음식,1,한정식,101
20210312,2,Busan,Busan,417255,할머니백숙,전라북도 군산시 계산2길 78,한국음식,1,한정식,101
20210308,2,Busan,Busan,890469,호원대학교 식당,전라북도 군산시 임피면 호원대3길 64,한국음식,1,한정식,101
20210301,4,Busan,Busan,1083979,본뼈오식도점,전라북도 군산시 가도로 182,한국음식,1,한정식,101
20210316,2,Busan,Busan,1058440,무지개식당,전라북도 군산시 구영4길 15,한국음식,1,한정식,101
20210323,2,Busan,Busan,687447,서우식당,전라북도 군산시 나운안2길 9-6,한국음식,1,한정식,101
20210321,2,Busan,Busan,899528,영일식당,전라북도 군산시 칠성3길 125,한국음식,1,한정식,101
20210313,2,Busan,Busan,959479,정쉐프의덤앤덤,전라북도 군산시 수송로 16,한국음식,1,한정식,101
20210329,2,Busan,Busan,890460,황소고을,전라북도 군산시 임피면 동문길 1,한국음식,1,한정식,101
20210306,2,Busan,Busan,890469,호원대학교 식당,전라북도 군산시 임피면 호원대3길 64,한국음식,1,한정식,101
20210318,2,Busan,Busan,890311,성가네순대,전라북도 군산시 가도로 203,한국음식,1,한정식,101
20210319,2,Busan,Busan,1162803,무지개수산,전라북도 군산시 소룡1길 21,한국음식,1,한정식,101
20210324,2,Busan,Busan,1058440,무지개식당,전라북도 군산시 구영4길 15,한국음식,1,한정식,101
20210306,2,Busan,Busan,937850,신시도식당,전라북도 군산시 옥도면 신시도3길 36,한국음식,1,한정식,101
20210304,2,Busan,Busan,949026,군산촌닭,전라북도 군산시 소룡2길 60,한국음식,1,한정식,101
20210320,2,Busan,Busan,1005990,경원해물아구찜,전라북도 군산시 상지곡3길 3-1,한국음식,1,한정식,101
20210312,2,Busan,Busan,986158,양평해장국구암점,전라북도 군산시 부골2길 47-11,한국음식,1,한정식,101
20210314,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210308,2,Busan,Busan,687252,참사랑명태찜,전라북도 군산시 진포로 227,한국음식,1,한정식,101
20210319,2,Busan,Busan,1232122,누렁소까망돼지,전라북도 군산시 칠성4길 52,한국음식,1,한정식,101
20210303,2,Busan,Busan,890469,호원대학교 식당,전라북도 군산시 임피면 호원대3길 64,한국음식,1,한정식,101
20210323,2,Busan,Busan,890469,호원대학교 식당,전라북도 군산시 임피면 호원대3길 64,한국음식,1,한정식,101
20210321,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210316,4,Busan,Busan,1162803,무지개수산,전라북도 군산시 소룡1길 21,한국음식,1,한정식,101
20210320,2,Busan,Busan,914076,하제고향횟집,전라북도 군산시 옥구읍 옥구로 248,한국음식,1,한정식,101
20210313,2,Busan,Busan,1005990,경원해물아구찜,전라북도 군산시 상지곡3길 3-1,한국음식,1,한정식,101
20210310,2,Busan,Busan,1017145,순희네생선집,전라북도 군산시 구영5길 104-4,한국음식,1,한정식,101
20210309,2,Busan,Busan,899775,연도식당민박,전라북도 군산시 옥도면 연도1길 28,한국음식,1,한정식,101
20210325,2,Busan,Busan,1151484,풍미찜닭,전라북도 군산시 칠성안1길 17,한국음식,1,한정식,101
20210321,2,Busan,Busan,424672,놀부네집수송동,전라북도 군산시 수송안7길 24,한국음식,1,한정식,101
20210307,2,Busan,Busan,1080475,어부네포차,전라북도 군산시 가도로 202,한국음식,1,한정식,101
20210325,2,Busan,Busan,1162588,애비야몸챙겨라,전라북도 군산시 요죽3길 35,한국음식,1,한정식,101
20210316,2,Busan,Busan,890511,우사랑,전라북도 군산시 대야면 대야관통로 90,한국음식,1,한정식,101
20210325,2,Busan,Busan,919041,또치네삼겹살,전라북도 군산시 조촌4길 31,한국음식,1,한정식,101
20210320,2,Busan,Busan,419345,양철지붕,전라북도 군산시 중앙로 19,한국음식,1,한정식,101
20210326,2,Busan,Busan,1083596,백승원사내포차,전라북도 군산시 칠성2길 109,한국음식,1,한정식,101
20210323,2,Busan,Busan,1058428,이모네집,전라북도 군산시 구영6길 118,한국음식,1,한정식,101
20210316,2,Busan,Busan,925352,부흥장어,전라북도 군산시 조촌안5길 71,한국음식,1,한정식,101
20210303,2,Busan,Busan,417255,할머니백숙,전라북도 군산시 계산2길 78,한국음식,1,한정식,101
20210322,2,Busan,Busan,1246071,4도C냉면&우동,전라북도 군산시 동메2길 32-4,한국음식,1,한정식,101
20210314,2,Busan,Busan,398990,싱싱해물탕세꼬시,전라북도 군산시 황룡로 57,한국음식,1,한정식,101
20210331,2,Busan,Busan,985389,민들레국수,전라북도 군산시 황룡안길 39,한국음식,1,한정식,101
20210321,2,Busan,Busan,916478,전망대식당,전라북도 군산시 옥도면 신시도2길 13-4,한국음식,1,한정식,101
20210330,2,Busan,Busan,813110,풍천장어타운경암점,전라북도 군산시 진포로 199,한국음식,1,한정식,101
20210320,2,Busan,Busan,364335,군산향토음식관아리랑,전라북도 군산시 해망로 224,한국음식,1,한정식,101
20210320,2,Busan,Busan,1092885,소담솥뚜껑삼겹살,전라북도 군산시 문화로 107,한국음식,1,삼겹살/목살,102
20210321,2,Busan,Busan,762993,캠핑홀릭,전라북도 군산시 현충로 91-5,한국음식,1,삼겹살/목살,102
20210309,4,Busan,Busan,1104947,대가촌흑염소,전라북도 군산시 대야면 대야관통로 96,한국음식,1,삼겹살/목살,102
20210324,2,Busan,Busan,1007583,돼지사냥,전라북도 군산시 하신재길 8,한국음식,1,삼겹살/목살,102
20210313,2,Busan,Busan,956834,엘에이갈비전문점,전라북도 군산시 비응6길 107,한국음식,1,삼겹살/목살,102
20210311,2,Busan,Busan,260034,미림,전라북도 군산시 조촌동 874-8,한국음식,1,삼겹살/목살,102
20210316,2,Busan,Busan,444839,양푼갈비스토리,전라북도 군산시 수송안1길 15-8,한국음식,1,삼겹살/목살,102
20210311,2,Busan,Busan,432611,민선초가,전라북도 군산시 칠성로 160,한국음식,1,삼겹살/목살,102
20210301,2,Busan,Busan,1036146,군산숯불갈비,전라북도 군산시 미장3길 1,한국음식,1,삼겹살/목살,102
20210311,2,Busan,Busan,742923,오성산숯불갈비,전라북도 군산시 조촌안4길 20,한국음식,1,삼겹살/목살,102
20210323,2,Busan,Busan,1007583,돼지사냥,전라북도 군산시 하신재길 8,한국음식,1,삼겹살/목살,102
20210331,2,Busan,Busan,1081170,대패대가,전라북도 군산시 동수송2길 30,한국음식,1,삼겹살/목살,102
20210301,2,Busan,Busan,956834,엘에이갈비전문점,전라북도 군산시 비응6길 107,한국음식,1,삼겹살/목살,102
20210319,2,Busan,Busan,1104947,대가촌흑염소,전라북도 군산시 대야면 대야관통로 96,한국음식,1,삼겹살/목살,102
20210327,2,Busan,Busan,398840,진갈비,전라북도 군산시 구영1길 108-7,한국음식,1,돼지갈비/갈매기살,103
20210308,2,Busan,Busan,400462,명월갈비,전라북도 군산시 구영7길 59,한국음식,1,꽃등심/등심/육회,105
20210309,2,Busan,Busan,874780,구불길,전라북도 군산시 월명로 452,한국음식,1,꽃등심/등심/육회,105
20210319,2,Busan,Busan,874780,구불길,전라북도 군산시 월명로 452,한국음식,1,꽃등심/등심/육회,105
20210321,6,Busan,Busan,746749,생생오리,전라북도 군산시 축동로 9,한국음식,1,오리 훈제/구이/로스/탕,106
20210326,2,Busan,Busan,1168274,밥주걱,전라북도 군산시 팔마로 93-1,한국음식,1,닭볶음탕/닭갈비/닭발,107
20210317,2,Busan,Busan,1224255,두뽂스,전라북도 군산시 하신1길 24-1,한국음식,1,닭볶음탕/닭갈비/닭발,107
