기초지자체,구분,2015,2016,2017,2018,2019,2020
목포시,전체,"133,890","188,476","314,473","388,461","581,002","658,646"
목포시,자연관광지,"28,522","36,349","55,862","52,245","61,041","62,154"
목포시,역사관광지,351,373,651,782,"1,537","1,655"
목포시,공연/행사,"2,687","4,123","5,911","8,428","10,402","4,449"
목포시,문화시설,"5,758","7,166","12,481","15,133","23,811","17,925"
목포시,레포츠(육상/해상/항공),883,"1,271","3,799","4,985","6,708","5,656"
목포시,쇼핑,"7,989","9,191","15,021","17,729","25,492","32,766"
목포시,식음료,"52,364","84,954","147,096","195,243","293,133","336,241"
목포시,숙박,"14,203","18,585","30,305","39,874","64,450","82,867"
목포시,기타관광지,"21,133","26,461","43,344","54,030","94,411","114,914"
목포시,휴양관광지,0,3,3,12,17,19
