지역,구분,2018,2019,2020
"춘천시","현지인(a)","11,010,874","61,312,962","68,192,999"
"춘천시","외지인(b)","26,285,707","29,784,122","26,735,810"
"춘천시","외국인(c)","398,404","729,575","98,656"
"춘천시","외부방문자(b+c)","26,684,111","30,513,697","26,834,466"
"춘천시","전년외부방문자(b'+c')","0","26,684,111","30,513,697"
"춘천시","외부방문자 전년대비증감률(%)","0","14","-12"
"원주시","현지인(a)","12,190,202","68,448,793","74,815,080"
"원주시","외지인(b)","29,589,903","30,466,306","27,360,834"
"원주시","외국인(c)","117,523","142,118","44,671"
"원주시","외부방문자(b+c)","29,707,426","30,608,425","27,405,505"
"원주시","전년외부방문자(b'+c')","0","29,707,426","30,608,425"
"원주시","외부방문자 전년대비증감률(%)","0","3","-10"
"강릉시","현지인(a)","9,167,249","51,030,368","56,888,226"
"강릉시","외지인(b)","31,244,031","32,137,920","31,213,630"
"강릉시","외국인(c)","418,154","161,141","30,641"
"강릉시","외부방문자(b+c)","31,662,185","32,299,061","31,244,271"
"강릉시","전년외부방문자(b'+c')","0","31,662,185","32,299,061"
"강릉시","외부방문자 전년대비증감률(%)","0","2","-3"
"동해시","현지인(a)","3,506,979","19,982,291","22,340,006"
"동해시","외지인(b)","10,037,318","10,696,844","10,287,991"
"동해시","외국인(c)","73,003","93,348","36,279"
"동해시","외부방문자(b+c)","10,110,320","10,790,192","10,324,270"
"동해시","전년외부방문자(b'+c')","0","10,110,320","10,790,192"
"동해시","외부방문자 전년대비증감률(%)","0","7","-4"
"태백시","현지인(a)","2,062,218","11,493,895","12,483,975"
"태백시","외지인(b)","5,048,050","5,272,134","4,821,582"
"태백시","외국인(c)","10,287","11,570","2,544"
"태백시","외부방문자(b+c)","5,058,337","5,283,704","4,824,126"
"태백시","전년외부방문자(b'+c')","0","5,058,337","5,283,704"
"태백시","외부방문자 전년대비증감률(%)","0","4","-9"
"속초시","현지인(a)","3,513,146","20,229,216","22,620,213"
"속초시","외지인(b)","20,767,198","21,060,193","20,936,853"
"속초시","외국인(c)","202,988","258,692","23,409"
"속초시","외부방문자(b+c)","20,970,185","21,318,885","20,960,262"
"속초시","전년외부방문자(b'+c')","0","20,970,185","21,318,885"
"속초시","외부방문자 전년대비증감률(%)","0","2","-2"
"삼척시","현지인(a)","2,569,182","14,081,536","15,299,658"
"삼척시","외지인(b)","11,081,392","11,322,878","10,716,335"
"삼척시","외국인(c)","57,478","67,443","23,984"
"삼척시","외부방문자(b+c)","11,138,870","11,390,321","10,740,319"
"삼척시","전년외부방문자(b'+c')","0","11,138,870","11,390,321"
"삼척시","외부방문자 전년대비증감률(%)","0","2","-6"
"홍천군","현지인(a)","1,771,956","10,373,314","11,695,733"
"홍천군","외지인(b)","15,025,465","15,576,054","15,089,722"
"홍천군","외국인(c)","88,916","147,835","42,938"
"홍천군","외부방문자(b+c)","15,114,381","15,723,889","15,132,660"
"홍천군","전년외부방문자(b'+c')","0","15,114,381","15,723,889"
"홍천군","외부방문자 전년대비증감률(%)","0","4","-4"
"횡성군","현지인(a)","1,115,874","6,612,112","7,216,055"
"횡성군","외지인(b)","14,251,114","13,832,812","12,737,966"
"횡성군","외국인(c)","48,734","54,245","10,120"
"횡성군","외부방문자(b+c)","14,299,849","13,887,057","12,748,087"
"횡성군","전년외부방문자(b'+c')","0","14,299,849","13,887,057"
"횡성군","외부방문자 전년대비증감률(%)","0","-3","-8"
"영월군","현지인(a)","904,484","5,348,066","5,841,822"
"영월군","외지인(b)","6,147,978","6,157,910","6,133,085"
"영월군","외국인(c)","17,823","22,381","7,527"
"영월군","외부방문자(b+c)","6,165,800","6,180,292","6,140,612"
"영월군","전년외부방문자(b'+c')","0","6,165,800","6,180,292"
"영월군","외부방문자 전년대비증감률(%)","0","0","-1"
"평창군","현지인(a)","1,433,348","8,207,745","9,111,123"
"평창군","외지인(b)","14,960,620","14,051,832","13,619,837"
"평창군","외국인(c)","472,094","241,967","53,476"
"평창군","외부방문자(b+c)","15,432,714","14,293,799","13,673,313"
"평창군","전년외부방문자(b'+c')","0","15,432,714","14,293,799"
"평창군","외부방문자 전년대비증감률(%)","0","-7","-4"
"정선군","현지인(a)","1,282,662","7,415,684","7,713,114"
"정선군","외지인(b)","9,008,307","8,981,256","6,518,141"
"정선군","외국인(c)","59,262","50,090","20,850"
"정선군","외부방문자(b+c)","9,067,569","9,031,346","6,538,991"
"정선군","전년외부방문자(b'+c')","0","9,067,569","9,031,346"
"정선군","외부방문자 전년대비증감률(%)","0","0","-28"
"철원군","현지인(a)","1,262,790","7,615,794","8,855,970"
"철원군","외지인(b)","5,299,042","6,377,332","5,786,882"
"철원군","외국인(c)","11,461","16,605","3,026"
"철원군","외부방문자(b+c)","5,310,503","6,393,938","5,789,909"
"철원군","전년외부방문자(b'+c')","0","5,310,503","6,393,938"
"철원군","외부방문자 전년대비증감률(%)","0","20","-9"
"화천군","현지인(a)","640,972","4,398,065","5,484,762"
"화천군","외지인(b)","3,787,900","4,861,115","4,221,322"
"화천군","외국인(c)","11,867","26,437","10,939"
"화천군","외부방문자(b+c)","3,799,766","4,887,552","4,232,261"
"화천군","전년외부방문자(b'+c')","0","3,799,766","4,887,552"
"화천군","외부방문자 전년대비증감률(%)","0","29","-13"
"양구군","현지인(a)","774,042","4,812,248","5,344,686"
"양구군","외지인(b)","2,740,426","3,338,486","2,684,574"
"양구군","외국인(c)","8,577","11,294","1,346"
"양구군","외부방문자(b+c)","2,749,003","3,349,779","2,685,919"
"양구군","전년외부방문자(b'+c')","0","2,749,003","3,349,779"
"양구군","외부방문자 전년대비증감률(%)","0","22","-20"
"인제군","현지인(a)","956,998","5,913,523","6,879,544"
"인제군","외지인(b)","8,723,666","9,502,668","8,692,159"
"인제군","외국인(c)","27,052","29,348","3,890"
"인제군","외부방문자(b+c)","8,750,718","9,532,016","8,696,049"
"인제군","전년외부방문자(b'+c')","0","8,750,718","9,532,016"
"인제군","외부방문자 전년대비증감률(%)","0","9","-9"
"고성군","현지인(a)","941,216","5,735,212","6,844,341"
"고성군","외지인(b)","9,821,074","10,441,067","11,006,681"
"고성군","외국인(c)","81,713","109,857","13,715"
"고성군","외부방문자(b+c)","9,902,786","10,550,924","11,020,396"
"고성군","전년외부방문자(b'+c')","0","9,902,786","10,550,924"
"고성군","외부방문자 전년대비증감률(%)","0","7","4"
"양양군","현지인(a)","1,213,646","7,227,528","8,548,404"
"양양군","외지인(b)","13,226,216","13,805,488","15,226,306"
"양양군","외국인(c)","50,332","51,820","9,759"
"양양군","외부방문자(b+c)","13,276,548","13,857,308","15,236,065"
"양양군","전년외부방문자(b'+c')","0","13,276,548","13,857,308"
"양양군","외부방문자 전년대비증감률(%)","0","4","10"
