지역,구분,2018,2019,2020
"수원시 장안구","현지인(a)","7,666,284","42,998,781","46,458,416"
"수원시 장안구","외지인(b)","33,827,014","35,328,668","31,690,232"
"수원시 장안구","외국인(c)","94,817","137,018","33,553"
"수원시 장안구","외부방문자(b+c)","33,921,831","35,465,685","31,723,785"
"수원시 장안구","전년외부방문자(b'+c')","0","33,921,831","35,465,685"
"수원시 장안구","외부방문자 전년대비증감률(%)","0","5","-11"
"수원시 권선구","현지인(a)","7,627,602","42,947,765","44,086,248"
"수원시 권선구","외지인(b)","41,565,146","41,257,811","35,054,915"
"수원시 권선구","외국인(c)","163,288","193,665","45,684"
"수원시 권선구","외부방문자(b+c)","41,728,434","41,451,476","35,100,599"
"수원시 권선구","전년외부방문자(b'+c')","0","41,728,434","41,451,476"
"수원시 권선구","외부방문자 전년대비증감률(%)","0","-1","-15"
"수원시 팔달구","현지인(a)","5,749,576","31,565,468","32,001,753"
"수원시 팔달구","외지인(b)","63,558,366","63,117,096","52,341,338"
"수원시 팔달구","외국인(c)","481,199","644,080","80,355"
"수원시 팔달구","외부방문자(b+c)","64,039,565","63,761,176","52,421,693"
"수원시 팔달구","전년외부방문자(b'+c')","0","64,039,565","63,761,176"
"수원시 팔달구","외부방문자 전년대비증감률(%)","0","0","-18"
"수원시 영통구","현지인(a)","9,303,371","56,139,468","62,456,712"
"수원시 영통구","외지인(b)","49,633,682","56,314,041","49,343,872"
"수원시 영통구","외국인(c)","249,676","299,544","76,815"
"수원시 영통구","외부방문자(b+c)","49,883,358","56,613,585","49,420,687"
"수원시 영통구","전년외부방문자(b'+c')","0","49,883,358","56,613,585"
"수원시 영통구","외부방문자 전년대비증감률(%)","0","13","-13"
"성남시 수정구","현지인(a)","5,367,663","31,342,010","34,091,446"
"성남시 수정구","외지인(b)","36,418,984","38,073,658","34,364,144"
"성남시 수정구","외국인(c)","125,760","153,325","42,769"
"성남시 수정구","외부방문자(b+c)","36,544,744","38,226,983","34,406,914"
"성남시 수정구","전년외부방문자(b'+c')","0","36,544,744","38,226,983"
"성남시 수정구","외부방문자 전년대비증감률(%)","0","5","-10"
"성남시 중원구","현지인(a)","5,624,770","30,502,402","30,871,267"
"성남시 중원구","외지인(b)","27,775,958","28,926,510","25,189,472"
"성남시 중원구","외국인(c)","57,568","70,781","30,303"
"성남시 중원구","외부방문자(b+c)","27,833,526","28,997,291","25,219,775"
"성남시 중원구","전년외부방문자(b'+c')","0","27,833,526","28,997,291"
"성남시 중원구","외부방문자 전년대비증감률(%)","0","4","-13"
"성남시 분당구","현지인(a)","19,826,244","111,480,656","122,992,146"
"성남시 분당구","외지인(b)","87,522,390","91,028,490","77,033,544"
"성남시 분당구","외국인(c)","375,353","418,426","103,994"
"성남시 분당구","외부방문자(b+c)","87,897,742","91,446,916","77,137,538"
"성남시 분당구","전년외부방문자(b'+c')","0","87,897,742","91,446,916"
"성남시 분당구","외부방문자 전년대비증감률(%)","0","4","-16"
"의정부시","현지인(a)","12,972,746","75,631,710","82,217,191"
"의정부시","외지인(b)","42,029,460","42,947,376","38,214,320"
"의정부시","외국인(c)","94,162","124,495","31,615"
"의정부시","외부방문자(b+c)","42,123,621","43,071,872","38,245,935"
"의정부시","전년외부방문자(b'+c')","0","42,123,621","43,071,872"
"의정부시","외부방문자 전년대비증감률(%)","0","2","-11"
"안양시 만안구","현지인(a)","6,263,362","35,407,043","38,367,245"
"안양시 만안구","외지인(b)","36,302,322","36,158,794","28,481,866"
"안양시 만안구","외국인(c)","107,651","169,445","31,373"
"안양시 만안구","외부방문자(b+c)","36,409,973","36,328,239","28,513,239"
"안양시 만안구","전년외부방문자(b'+c')","0","36,409,973","36,328,239"
"안양시 만안구","외부방문자 전년대비증감률(%)","0","0","-22"
"안양시 동안구","현지인(a)","9,497,708","51,703,610","53,959,850"
"안양시 동안구","외지인(b)","43,161,604","44,170,644","37,166,300"
"안양시 동안구","외국인(c)","112,125","135,409","36,135"
"안양시 동안구","외부방문자(b+c)","43,273,729","44,306,053","37,202,435"
"안양시 동안구","전년외부방문자(b'+c')","0","43,273,729","44,306,053"
"안양시 동안구","외부방문자 전년대비증감률(%)","0","2","-16"
"부천시","현지인(a)","27,770,592","151,771,448","163,079,455"
"부천시","외지인(b)","75,700,422","78,957,372","65,053,107"
"부천시","외국인(c)","327,673","415,767","102,556"
"부천시","외부방문자(b+c)","76,028,095","79,373,138","65,155,663"
"부천시","전년외부방문자(b'+c')","0","76,028,095","79,373,138"
"부천시","외부방문자 전년대비증감률(%)","0","4","-18"
"광명시","현지인(a)","8,006,348","45,661,116","46,959,654"
"광명시","외지인(b)","40,368,167","39,709,320","34,454,700"
"광명시","외국인(c)","123,150","158,249","60,318"
"광명시","외부방문자(b+c)","40,491,317","39,867,569","34,515,018"
"광명시","전년외부방문자(b'+c')","0","40,491,317","39,867,569"
"광명시","외부방문자 전년대비증감률(%)","0","-2","-13"
"평택시","현지인(a)","12,908,340","76,030,115","85,751,533"
"평택시","외지인(b)","37,657,056","42,319,914","39,725,732"
"평택시","외국인(c)","444,716","666,684","522,823"
"평택시","외부방문자(b+c)","38,101,773","42,986,598","40,248,555"
"평택시","전년외부방문자(b'+c')","0","38,101,773","42,986,598"
"평택시","외부방문자 전년대비증감률(%)","0","13","-6"
"동두천시","현지인(a)","2,716,620","15,407,018","16,451,309"
"동두천시","외지인(b)","9,491,083","9,651,537","8,644,496"
"동두천시","외국인(c)","49,574","54,635","26,858"
"동두천시","외부방문자(b+c)","9,540,657","9,706,172","8,671,354"
"동두천시","전년외부방문자(b'+c')","0","9,540,657","9,706,172"
"동두천시","외부방문자 전년대비증감률(%)","0","2","-11"
"안산시 상록구","현지인(a)","8,151,948","45,794,581","47,457,410"
"안산시 상록구","외지인(b)","29,019,564","31,153,482","27,620,870"
"안산시 상록구","외국인(c)","117,738","150,648","41,252"
"안산시 상록구","외부방문자(b+c)","29,137,302","31,304,130","27,662,122"
"안산시 상록구","전년외부방문자(b'+c')","0","29,137,302","31,304,130"
"안산시 상록구","외부방문자 전년대비증감률(%)","0","7","-12"
"안산시 단원구","현지인(a)","9,898,402","54,788,433","59,557,610"
"안산시 단원구","외지인(b)","50,896,324","51,964,241","49,029,278"
"안산시 단원구","외국인(c)","408,102","510,810","141,364"
"안산시 단원구","외부방문자(b+c)","51,304,427","52,475,051","49,170,641"
"안산시 단원구","전년외부방문자(b'+c')","0","51,304,427","52,475,051"
"안산시 단원구","외부방문자 전년대비증감률(%)","0","2","-6"
"고양시 덕양구","현지인(a)","11,908,494","68,607,144","78,179,150"
"고양시 덕양구","외지인(b)","56,819,388","59,284,659","58,563,694"
"고양시 덕양구","외국인(c)","277,553","524,576","98,738"
"고양시 덕양구","외부방문자(b+c)","57,096,941","59,809,235","58,662,432"
"고양시 덕양구","전년외부방문자(b'+c')","0","57,096,941","59,809,235"
"고양시 덕양구","외부방문자 전년대비증감률(%)","0","5","-2"
"고양시 일산동구","현지인(a)","10,904,551","62,034,032","67,609,654"
"고양시 일산동구","외지인(b)","62,299,744","62,964,090","56,768,772"
"고양시 일산동구","외국인(c)","172,865","216,172","60,334"
"고양시 일산동구","외부방문자(b+c)","62,472,610","63,180,262","56,829,106"
"고양시 일산동구","전년외부방문자(b'+c')","0","62,472,610","63,180,262"
"고양시 일산동구","외부방문자 전년대비증감률(%)","0","1","-10"
"고양시 일산서구","현지인(a)","8,163,673","46,862,498","51,576,322"
"고양시 일산서구","외지인(b)","43,656,224","43,983,320","38,707,046"
"고양시 일산서구","외국인(c)","215,828","272,061","50,221"
"고양시 일산서구","외부방문자(b+c)","43,872,052","44,255,381","38,757,267"
"고양시 일산서구","전년외부방문자(b'+c')","0","43,872,052","44,255,381"
"고양시 일산서구","외부방문자 전년대비증감률(%)","0","1","-12"
"과천시","현지인(a)","2,281,510","14,085,533","15,780,454"
"과천시","외지인(b)","19,089,592","19,534,588","15,445,101"
"과천시","외국인(c)","52,669","75,783","11,993"
"과천시","외부방문자(b+c)","19,142,260","19,610,371","15,457,094"
"과천시","전년외부방문자(b'+c')","0","19,142,260","19,610,371"
"과천시","외부방문자 전년대비증감률(%)","0","2","-21"
"구리시","현지인(a)","6,832,578","40,206,576","46,173,228"
"구리시","외지인(b)","39,439,547","40,801,537","42,660,240"
"구리시","외국인(c)","60,113","69,297","19,992"
"구리시","외부방문자(b+c)","39,499,660","40,870,834","42,680,232"
"구리시","전년외부방문자(b'+c')","0","39,499,660","40,870,834"
"구리시","외부방문자 전년대비증감률(%)","0","3","4"
"남양주시","현지인(a)","18,713,432","110,602,398","122,508,782"
"남양주시","외지인(b)","59,661,070","66,050,092","67,591,898"
"남양주시","외국인(c)","162,264","221,371","62,543"
"남양주시","외부방문자(b+c)","59,823,334","66,271,463","67,654,441"
"남양주시","전년외부방문자(b'+c')","0","59,823,334","66,271,463"
"남양주시","외부방문자 전년대비증감률(%)","0","11","2"
"오산시","현지인(a)","5,843,632","32,788,560","36,782,305"
"오산시","외지인(b)","24,348,146","26,552,390","23,016,822"
"오산시","외국인(c)","103,066","119,509","30,444"
"오산시","외부방문자(b+c)","24,451,211","26,671,899","23,047,266"
"오산시","전년외부방문자(b'+c')","0","24,451,211","26,671,899"
"오산시","외부방문자 전년대비증감률(%)","0","9","-14"
"시흥시","현지인(a)","9,657,655","55,503,686","62,614,860"
"시흥시","외지인(b)","48,450,356","51,582,153","50,713,464"
"시흥시","외국인(c)","255,964","345,024","84,778"
"시흥시","외부방문자(b+c)","48,706,320","51,927,177","50,798,241"
"시흥시","전년외부방문자(b'+c')","0","48,706,320","51,927,177"
"시흥시","외부방문자 전년대비증감률(%)","0","7","-2"
"군포시","현지인(a)","8,158,829","45,934,942","50,219,575"
"군포시","외지인(b)","24,840,974","26,623,804","23,720,333"
"군포시","외국인(c)","89,882","110,634","62,084"
"군포시","외부방문자(b+c)","24,930,856","26,734,438","23,782,417"
"군포시","전년외부방문자(b'+c')","0","24,930,856","26,734,438"
"군포시","외부방문자 전년대비증감률(%)","0","7","-11"
"의왕시","현지인(a)","3,135,447","19,019,900","22,659,658"
"의왕시","외지인(b)","22,713,498","24,520,146","24,271,632"
"의왕시","외국인(c)","55,249","65,886","38,165"
"의왕시","외부방문자(b+c)","22,768,748","24,586,032","24,309,797"
"의왕시","전년외부방문자(b'+c')","0","22,768,748","24,586,032"
"의왕시","외부방문자 전년대비증감률(%)","0","8","-1"
"하남시","현지인(a)","7,281,852","45,114,972","54,024,576"
"하남시","외지인(b)","40,148,941","48,312,614","51,326,664"
"하남시","외국인(c)","80,894","115,914","55,997"
"하남시","외부방문자(b+c)","40,229,835","48,428,528","51,382,660"
"하남시","전년외부방문자(b'+c')","0","40,229,835","48,428,528"
"하남시","외부방문자 전년대비증감률(%)","0","20","6"
"용인시 처인구","현지인(a)","7,772,772","44,397,108","47,610,010"
"용인시 처인구","외지인(b)","40,932,476","42,778,508","38,322,078"
"용인시 처인구","외국인(c)","461,480","757,232","144,631"
"용인시 처인구","외부방문자(b+c)","41,393,956","43,535,740","38,466,708"
