지역,구분,2018,2019,2020
"창원시 의창구","현지인(a)","7,232,232","44,206,036","45,940,772"
"창원시 의창구","외지인(b)","39,454,272","38,617,537","34,066,644"
"창원시 의창구","외국인(c)","115,769","112,169","19,802"
"창원시 의창구","외부방문자(b+c)","39,570,041","38,729,706","34,086,446"
"창원시 의창구","전년외부방문자(b'+c')","0","39,570,041","38,729,706"
"창원시 의창구","외부방문자 전년대비증감률(%)","0","-2","-12"
"창원시 성산구","현지인(a)","8,280,993","43,437,670","43,462,716"
"창원시 성산구","외지인(b)","31,515,547","30,925,895","27,963,106"
"창원시 성산구","외국인(c)","188,508","202,107","31,216"
"창원시 성산구","외부방문자(b+c)","31,704,055","31,128,002","27,994,323"
"창원시 성산구","전년외부방문자(b'+c')","0","31,704,055","31,128,002"
"창원시 성산구","외부방문자 전년대비증감률(%)","0","-2","-10"
"창원시 마산합포구","현지인(a)","5,411,606","32,702,708","33,256,436"
"창원시 마산합포구","외지인(b)","24,724,539","25,409,104","23,625,654"
"창원시 마산합포구","외국인(c)","66,160","84,047","23,469"
"창원시 마산합포구","외부방문자(b+c)","24,790,699","25,493,151","23,649,123"
"창원시 마산합포구","전년외부방문자(b'+c')","0","24,790,699","25,493,151"
"창원시 마산합포구","외부방문자 전년대비증감률(%)","0","3","-7"
"창원시 마산회원구","현지인(a)","5,142,588","31,021,420","31,688,548"
"창원시 마산회원구","외지인(b)","21,057,778","21,648,984","19,606,083"
"창원시 마산회원구","외국인(c)","37,708","45,681","10,537"
"창원시 마산회원구","외부방문자(b+c)","21,095,486","21,694,665","19,616,620"
"창원시 마산회원구","전년외부방문자(b'+c')","0","21,095,486","21,694,665"
"창원시 마산회원구","외부방문자 전년대비증감률(%)","0","3","-10"
"창원시 진해구","현지인(a)","4,420,451","27,623,533","28,637,634"
"창원시 진해구","외지인(b)","16,343,411","17,245,764","16,593,458"
"창원시 진해구","외국인(c)","108,528","154,447","69,972"
"창원시 진해구","외부방문자(b+c)","16,451,939","17,400,210","16,663,430"
"창원시 진해구","전년외부방문자(b'+c')","0","16,451,939","17,400,210"
"창원시 진해구","외부방문자 전년대비증감률(%)","0","6","-4"
"진주시","현지인(a)","10,141,338","59,726,488","59,964,660"
"진주시","외지인(b)","23,037,948","23,841,310","20,883,681"
"진주시","외국인(c)","71,156","96,464","21,540"
"진주시","외부방문자(b+c)","23,109,104","23,937,775","20,905,221"
"진주시","전년외부방문자(b'+c')","0","23,109,104","23,937,775"
"진주시","외부방문자 전년대비증감률(%)","0","4","-13"
"통영시","현지인(a)","3,981,565","23,862,002","24,877,822"
"통영시","외지인(b)","16,468,330","16,292,164","15,300,064"
"통영시","외국인(c)","293,250","473,324","176,773"
"통영시","외부방문자(b+c)","16,761,579","16,765,488","15,476,838"
"통영시","전년외부방문자(b'+c')","0","16,761,579","16,765,488"
"통영시","외부방문자 전년대비증감률(%)","0","0","-8"
"사천시","현지인(a)","3,094,122","19,046,174","20,541,633"
"사천시","외지인(b)","15,202,106","15,751,638","14,535,552"
"사천시","외국인(c)","43,470","64,332","12,810"
"사천시","외부방문자(b+c)","15,245,576","15,815,970","14,548,363"
"사천시","전년외부방문자(b'+c')","0","15,245,576","15,815,970"
"사천시","외부방문자 전년대비증감률(%)","0","4","-8"
"김해시","현지인(a)","13,925,446","84,449,172","91,711,056"
"김해시","외지인(b)","37,900,152","39,193,924","38,236,202"
"김해시","외국인(c)","170,964","238,405","34,862"
"김해시","외부방문자(b+c)","38,071,117","39,432,329","38,271,063"
"김해시","전년외부방문자(b'+c')","0","38,071,117","39,432,329"
"김해시","외부방문자 전년대비증감률(%)","0","4","-3"
"밀양시","현지인(a)","2,962,852","18,105,658","19,279,918"
"밀양시","외지인(b)","11,380,670","12,142,305","13,004,534"
"밀양시","외국인(c)","36,537","51,395","7,175"
"밀양시","외부방문자(b+c)","11,417,207","12,193,700","13,011,708"
"밀양시","전년외부방문자(b'+c')","0","11,417,207","12,193,700"
"밀양시","외부방문자 전년대비증감률(%)","0","7","7"
"거제시","현지인(a)","12,259,824","74,525,874","78,173,291"
"거제시","외지인(b)","21,390,838","22,715,196","21,653,608"
"거제시","외국인(c)","372,140","429,561","126,422"
"거제시","외부방문자(b+c)","21,762,978","23,144,757","21,780,029"
"거제시","전년외부방문자(b'+c')","0","21,762,978","23,144,757"
"거제시","외부방문자 전년대비증감률(%)","0","6","-6"
"양산시","현지인(a)","9,708,622","58,956,296","62,563,333"
"양산시","외지인(b)","30,634,628","31,494,183","30,216,392"
"양산시","외국인(c)","101,724","131,608","25,239"
"양산시","외부방문자(b+c)","30,736,352","31,625,791","30,241,632"
"양산시","전년외부방문자(b'+c')","0","30,736,352","31,625,791"
"양산시","외부방문자 전년대비증감률(%)","0","3","-4"
"의령군","현지인(a)","727,279","4,548,044","4,920,408"
"의령군","외지인(b)","3,728,515","3,881,920","3,930,798"
"의령군","외국인(c)","8,714","8,968","1,099"
"의령군","외부방문자(b+c)","3,737,229","3,890,888","3,931,896"
"의령군","전년외부방문자(b'+c')","0","3,737,229","3,890,888"
"의령군","외부방문자 전년대비증감률(%)","0","4","1"
"함안군","현지인(a)","1,836,068","11,673,498","12,253,412"
"함안군","외지인(b)","9,216,830","9,714,330","9,587,616"
"함안군","외국인(c)","24,049","35,130","4,955"
"함안군","외부방문자(b+c)","9,240,879","9,749,461","9,592,572"
"함안군","전년외부방문자(b'+c')","0","9,240,879","9,749,461"
"함안군","외부방문자 전년대비증감률(%)","0","6","-2"
"창녕군","현지인(a)","1,621,854","9,980,292","10,277,704"
"창녕군","외지인(b)","8,959,114","9,184,228","8,540,273"
"창녕군","외국인(c)","39,717","50,477","3,957"
"창녕군","외부방문자(b+c)","8,998,831","9,234,704","8,544,230"
"창녕군","전년외부방문자(b'+c')","0","8,998,831","9,234,704"
"창녕군","외부방문자 전년대비증감률(%)","0","3","-7"
"고성군","현지인(a)","1,275,312","8,122,972","8,741,964"
"고성군","외지인(b)","7,896,598","8,629,593","8,730,340"
"고성군","외국인(c)","19,760","36,415","6,014"
"고성군","외부방문자(b+c)","7,916,359","8,666,008","8,736,355"
"고성군","전년외부방문자(b'+c')","0","7,916,359","8,666,008"
"고성군","외부방문자 전년대비증감률(%)","0","9","1"
"남해군","현지인(a)","1,088,346","6,820,054","7,314,156"
"남해군","외지인(b)","7,928,568","8,245,198","7,842,758"
"남해군","외국인(c)","229,741","423,261","100,646"
"남해군","외부방문자(b+c)","8,158,309","8,668,460","7,943,404"
"남해군","전년외부방문자(b'+c')","0","8,158,309","8,668,460"
"남해군","외부방문자 전년대비증감률(%)","0","6","-8"
"하동군","현지인(a)","784,640","4,988,176","5,438,002"
"하동군","외지인(b)","6,477,702","6,819,354","6,663,352"
"하동군","외국인(c)","17,623","24,702","2,449"
"하동군","외부방문자(b+c)","6,495,325","6,844,056","6,665,801"
"하동군","전년외부방문자(b'+c')","0","6,495,325","6,844,056"
"하동군","외부방문자 전년대비증감률(%)","0","5","-3"
"산청군","현지인(a)","729,438","4,549,097","4,818,037"
"산청군","외지인(b)","6,302,964","6,427,116","5,867,253"
"산청군","외국인(c)","10,527","14,932","1,779"
"산청군","외부방문자(b+c)","6,313,491","6,442,049","5,869,032"
"산청군","전년외부방문자(b'+c')","0","6,313,491","6,442,049"
"산청군","외부방문자 전년대비증감률(%)","0","2","-9"
"함양군","현지인(a)","1,027,404","6,521,092","7,091,556"
"함양군","외지인(b)","5,080,978","5,211,360","4,653,288"
"함양군","외국인(c)","8,271","11,343","1,654"
"함양군","외부방문자(b+c)","5,089,249","5,222,703","4,654,942"
"함양군","전년외부방문자(b'+c')","0","5,089,249","5,222,703"
"함양군","외부방문자 전년대비증감률(%)","0","3","-11"
"거창군","현지인(a)","1,746,594","10,753,925","11,420,692"
"거창군","외지인(b)","6,325,648","6,574,421","6,083,402"
"거창군","외국인(c)","11,436","16,446","2,183"
"거창군","외부방문자(b+c)","6,337,084","6,590,867","6,085,586"
"거창군","전년외부방문자(b'+c')","0","6,337,084","6,590,867"
"거창군","외부방문자 전년대비증감률(%)","0","4","-8"
"합천군","현지인(a)","1,074,031","6,774,204","7,397,666"
"합천군","외지인(b)","6,268,252","6,656,632","6,470,580"
"합천군","외국인(c)","16,698","24,330","1,522"
"합천군","외부방문자(b+c)","6,284,949","6,680,963","6,472,101"
"합천군","전년외부방문자(b'+c')","0","6,284,949","6,680,963"
"합천군","외부방문자 전년대비증감률(%)","0","6","-3"
