지역,구분,2018,2019,2020
"포항시 남구","현지인(a)","7,029,718","43,124,974","42,228,246"
"포항시 남구","외지인(b)","26,626,604","27,850,214","25,902,258"
"포항시 남구","외국인(c)","181,233","245,542","67,120"
"포항시 남구","외부방문자(b+c)","26,807,837","28,095,756","25,969,377"
"포항시 남구","전년외부방문자(b'+c')","0","26,807,837","28,095,756"
"포항시 남구","외부방문자 전년대비증감률(%)","0","5","-8"
"포항시 북구","현지인(a)","8,996,953","54,305,814","55,074,842"
"포항시 북구","외지인(b)","28,193,179","28,082,411","25,801,808"
"포항시 북구","외국인(c)","79,565","102,333","26,052"
"포항시 북구","외부방문자(b+c)","28,272,744","28,184,744","25,827,860"
"포항시 북구","전년외부방문자(b'+c')","0","28,272,744","28,184,744"
"포항시 북구","외부방문자 전년대비증감률(%)","0","0","-8"
"경주시","현지인(a)","9,467,150","57,779,505","57,513,239"
"경주시","외지인(b)","40,358,686","42,743,736","35,924,298"
"경주시","외국인(c)","353,033","515,873","59,296"
"경주시","외부방문자(b+c)","40,711,718","43,259,609","35,983,593"
"경주시","전년외부방문자(b'+c')","0","40,711,718","43,259,609"
"경주시","외부방문자 전년대비증감률(%)","0","6","-17"
"김천시","현지인(a)","3,902,521","24,599,228","25,238,174"
"김천시","외지인(b)","11,802,402","12,365,724","11,054,774"
"김천시","외국인(c)","41,118","52,629","7,270"
"김천시","외부방문자(b+c)","11,843,521","12,418,353","11,062,045"
"김천시","전년외부방문자(b'+c')","0","11,843,521","12,418,353"
"김천시","외부방문자 전년대비증감률(%)","0","5","-11"
"안동시","현지인(a)","6,835,122","41,153,724","40,787,394"
"안동시","외지인(b)","18,414,046","18,972,849","15,894,109"
"안동시","외국인(c)","56,740","75,528","9,918"
"안동시","외부방문자(b+c)","18,470,786","19,048,377","15,904,027"
"안동시","전년외부방문자(b'+c')","0","18,470,786","19,048,377"
"안동시","외부방문자 전년대비증감률(%)","0","3","-17"
"구미시","현지인(a)","12,114,050","72,944,910","70,201,894"
"구미시","외지인(b)","24,554,716","26,384,911","23,135,102"
"구미시","외국인(c)","178,516","165,604","106,652"
"구미시","외부방문자(b+c)","24,733,231","26,550,515","23,241,753"
"구미시","전년외부방문자(b'+c')","0","24,733,231","26,550,515"
"구미시","외부방문자 전년대비증감률(%)","0","7","-12"
"영주시","현지인(a)","4,020,786","23,670,224","23,268,462"
"영주시","외지인(b)","8,722,840","8,883,763","7,720,580"
"영주시","외국인(c)","22,734","36,100","5,350"
"영주시","외부방문자(b+c)","8,745,574","8,919,863","7,725,930"
"영주시","전년외부방문자(b'+c')","0","8,745,574","8,919,863"
"영주시","외부방문자 전년대비증감률(%)","0","2","-13"
"영천시","현지인(a)","2,527,742","15,811,551","16,022,590"
"영천시","외지인(b)","11,592,368","11,992,040","11,106,910"
"영천시","외국인(c)","28,432","37,078","4,689"
"영천시","외부방문자(b+c)","11,620,799","12,029,117","11,111,600"
"영천시","전년외부방문자(b'+c')","0","11,620,799","12,029,117"
"영천시","외부방문자 전년대비증감률(%)","0","4","-8"
"상주시","현지인(a)","2,860,571","17,950,600","18,669,074"
"상주시","외지인(b)","11,419,390","12,236,980","11,183,200"
"상주시","외국인(c)","60,506","87,547","6,031"
"상주시","외부방문자(b+c)","11,479,896","12,324,527","11,189,231"
"상주시","전년외부방문자(b'+c')","0","11,479,896","12,324,527"
"상주시","외부방문자 전년대비증감률(%)","0","7","-9"
"문경시","현지인(a)","1,776,484","11,272,009","11,724,486"
"문경시","외지인(b)","9,697,198","11,129,818","9,717,316"
"문경시","외국인(c)","23,193","36,286","3,914"
"문경시","외부방문자(b+c)","9,720,391","11,166,104","9,721,230"
"문경시","전년외부방문자(b'+c')","0","9,720,391","11,166,104"
"문경시","외부방문자 전년대비증감률(%)","0","15","-13"
"경산시","현지인(a)","9,026,042","53,091,132","50,436,998"
"경산시","외지인(b)","30,796,675","31,656,800","26,636,446"
"경산시","외국인(c)","76,304","100,586","22,554"
"경산시","외부방문자(b+c)","30,872,979","31,757,386","26,659,000"
"경산시","전년외부방문자(b'+c')","0","30,872,979","31,757,386"
"경산시","외부방문자 전년대비증감률(%)","0","3","-16"
"군위군","현지인(a)","501,613","3,237,210","3,355,544"
"군위군","외지인(b)","6,436,784","6,792,695","6,546,228"
"군위군","외국인(c)","8,241","13,376","1,552"
"군위군","외부방문자(b+c)","6,445,025","6,806,071","6,547,781"
"군위군","전년외부방문자(b'+c')","0","6,445,025","6,806,071"
"군위군","외부방문자 전년대비증감률(%)","0","6","-4"
"의성군","현지인(a)","1,362,106","8,566,604","8,897,749"
"의성군","외지인(b)","6,280,516","6,632,430","6,536,684"
"의성군","외국인(c)","14,555","22,248","1,622"
"의성군","외부방문자(b+c)","6,295,070","6,654,678","6,538,306"
"의성군","전년외부방문자(b'+c')","0","6,295,070","6,654,678"
"의성군","외부방문자 전년대비증감률(%)","0","6","-2"
"청송군","현지인(a)","764,068","4,857,660","5,123,706"
"청송군","외지인(b)","5,422,025","4,838,015","4,595,423"
"청송군","외국인(c)","10,708","19,128","1,533"
