지역,구분,2018,2019,2020
"동구","현지인(a)","3,689,206","20,971,965","19,362,514"
"동구","외지인(b)","37,269,365","35,601,790","26,805,504"
"동구","외국인(c)","50,432","70,824","13,230"
"동구","외부방문자(b+c)","37,319,797","35,672,614","26,818,734"
"동구","전년외부방문자(b'+c')","0","37,319,797","35,672,614"
"동구","외부방문자 전년대비증감률(%)","0","-4","-25"
"서구","현지인(a)","10,189,550","59,206,742","54,755,379"
"서구","외지인(b)","49,030,194","47,961,330","39,483,732"
"서구","외국인(c)","115,197","162,655","36,588"
"서구","외부방문자(b+c)","49,145,392","48,123,984","39,520,320"
"서구","전년외부방문자(b'+c')","0","49,145,392","48,123,984"
"서구","외부방문자 전년대비증감률(%)","0","-2","-18"
"남구","현지인(a)","5,595,698","33,715,868","31,882,305"
"남구","외지인(b)","21,244,335","21,515,728","18,417,863"
"남구","외국인(c)","32,207","36,458","14,125"
"남구","외부방문자(b+c)","21,276,542","21,552,186","18,431,988"
"남구","전년외부방문자(b'+c')","0","21,276,542","21,552,186"
"남구","외부방문자 전년대비증감률(%)","0","1","-14"
"북구","현지인(a)","14,520,180","84,762,324","78,849,740"
"북구","외지인(b)","44,304,536","44,023,018","38,591,320"
"북구","외국인(c)","71,120","94,970","30,304"
"북구","외부방문자(b+c)","44,375,656","44,117,988","38,621,624"
"북구","전년외부방문자(b'+c')","0","44,375,656","44,117,988"
"북구","외부방문자 전년대비증감률(%)","0","-1","-12"
"광산구","현지인(a)","13,041,560","76,753,036","72,131,790"
"광산구","외지인(b)","42,064,638","43,493,370","36,797,686"
"광산구","외국인(c)","129,295","253,057","50,956"
"광산구","외부방문자(b+c)","42,193,933","43,746,426","36,848,642"
"광산구","전년외부방문자(b'+c')","0","42,193,933","43,746,426"
"광산구","외부방문자 전년대비증감률(%)","0","4","-16"
