지역,구분,2018,2019,2020
"중구","현지인(a)","3,990,511","23,882,250","21,177,118"
"중구","외지인(b)","72,231,537","71,891,634","53,600,782"
"중구","외국인(c)","199,109","311,266","36,827"
"중구","외부방문자(b+c)","72,430,646","72,202,901","53,637,609"
"중구","전년외부방문자(b'+c')","0","72,430,646","72,202,901"
"중구","외부방문자 전년대비증감률(%)","0","0","-26"
"동구","현지인(a)","9,413,299","58,832,918","56,866,296"
"동구","외지인(b)","52,672,207","56,371,794","46,166,768"
"동구","외국인(c)","191,635","328,404","43,685"
"동구","외부방문자(b+c)","52,863,842","56,700,199","46,210,452"
"동구","전년외부방문자(b'+c')","0","52,863,842","56,700,199"
"동구","외부방문자 전년대비증감률(%)","0","7","-18"
"서구","현지인(a)","3,931,456","24,195,808","22,517,526"
"서구","외지인(b)","22,063,808","21,931,536","18,946,704"
"서구","외국인(c)","33,351","47,481","13,650"
"서구","외부방문자(b+c)","22,097,159","21,979,016","18,960,354"
"서구","전년외부방문자(b'+c')","0","22,097,159","21,979,016"
"서구","외부방문자 전년대비증감률(%)","0","-1","-14"
"남구","현지인(a)","4,126,224","25,055,558","23,630,684"
"남구","외지인(b)","29,731,835","29,484,273","24,790,042"
"남구","외국인(c)","56,101","77,324","21,238"
"남구","외부방문자(b+c)","29,787,936","29,561,597","24,811,280"
"남구","전년외부방문자(b'+c')","0","29,787,936","29,561,597"
"남구","외부방문자 전년대비증감률(%)","0","-1","-16"
"북구","현지인(a)","14,833,984","89,354,128","85,151,980"
"북구","외지인(b)","48,350,242","49,103,002","41,958,206"
"북구","외국인(c)","135,408","192,906","48,713"
"북구","외부방문자(b+c)","48,485,651","49,295,908","42,006,919"
"북구","전년외부방문자(b'+c')","0","48,485,651","49,295,908"
"북구","외부방문자 전년대비증감률(%)","0","2","-15"
"수성구","현지인(a)","13,959,984","86,093,196","83,350,872"
"수성구","외지인(b)","48,699,892","49,853,580","42,542,098"
"수성구","외국인(c)","131,638","172,264","40,190"
"수성구","외부방문자(b+c)","48,831,530","50,025,844","42,582,288"
"수성구","전년외부방문자(b'+c')","0","48,831,530","50,025,844"
"수성구","외부방문자 전년대비증감률(%)","0","2","-15"
"달서구","현지인(a)","18,160,544","109,802,542","104,384,836"
"달서구","외지인(b)","56,229,761","57,525,730","48,267,709"
"달서구","외국인(c)","146,702","196,389","57,020"
"달서구","외부방문자(b+c)","56,376,463","57,722,119","48,324,729"
"달서구","전년외부방문자(b'+c')","0","56,376,463","57,722,119"
"달서구","외부방문자 전년대비증감률(%)","0","2","-16"
"달성군","현지인(a)","6,058,675","39,922,827","39,272,387"
"달성군","외지인(b)","27,761,156","29,376,277","27,266,446"
"달성군","외국인(c)","79,655","114,669","22,931"
"달성군","외부방문자(b+c)","27,840,811","29,490,946","27,289,376"
"달성군","전년외부방문자(b'+c')","0","27,840,811","29,490,946"
"달성군","외부방문자 전년대비증감률(%)","0","6","-7"
