지역,구분,2018,2019,2020
"동구","현지인(a)","6,315,589","37,720,456","35,913,528"
"동구","외지인(b)","34,413,544","35,775,904","30,108,547"
"동구","외국인(c)","76,527","99,335","31,603"
"동구","외부방문자(b+c)","34,490,071","35,875,240","30,140,150"
"동구","전년외부방문자(b'+c')","0","34,490,071","35,875,240"
"동구","외부방문자 전년대비증감률(%)","0","4","-16"
"중구","현지인(a)","7,356,181","43,690,762","42,639,275"
"중구","외지인(b)","45,813,873","44,483,422","36,520,729"
"중구","외국인(c)","49,430","65,055","17,656"
"중구","외부방문자(b+c)","45,863,303","44,548,476","36,538,385"
"중구","전년외부방문자(b'+c')","0","45,863,303","44,548,476"
"중구","외부방문자 전년대비증감률(%)","0","-3","-18"
"서구","현지인(a)","15,270,440","92,707,668","89,789,756"
"서구","외지인(b)","58,778,125","60,149,212","50,967,612"
"서구","외국인(c)","119,938","158,565","42,927"
"서구","외부방문자(b+c)","58,898,063","60,307,777","51,010,539"
"서구","전년외부방문자(b'+c')","0","58,898,063","60,307,777"
"서구","외부방문자 전년대비증감률(%)","0","2","-15"
"유성구","현지인(a)","12,231,912","73,593,065","72,011,880"
"유성구","외지인(b)","54,972,309","55,794,928","48,020,514"
"유성구","외국인(c)","192,121","230,968","58,210"
"유성구","외부방문자(b+c)","55,164,430","56,025,896","48,078,724"
"유성구","전년외부방문자(b'+c')","0","55,164,430","56,025,896"
"유성구","외부방문자 전년대비증감률(%)","0","2","-14"
"대덕구","현지인(a)","4,871,122","29,200,731","29,017,810"
"대덕구","외지인(b)","23,027,200","23,402,572","22,952,685"
"대덕구","외국인(c)","43,132","50,963","23,940"
"대덕구","외부방문자(b+c)","23,070,332","23,453,535","22,976,625"
"대덕구","전년외부방문자(b'+c')","0","23,070,332","23,453,535"
"대덕구","외부방문자 전년대비증감률(%)","0","2","-2"
