지역,구분,2018,2019,2020
"중구","현지인(a)","2,083,613","12,219,148","11,762,370"
"중구","외지인(b)","39,916,362","39,469,325","32,963,074"
"중구","외국인(c)","996,286","1,349,764","115,644"
"중구","외부방문자(b+c)","40,912,649","40,819,089","33,078,718"
"중구","전년외부방문자(b'+c')","0","40,912,649","40,819,089"
"중구","외부방문자 전년대비증감률(%)","0","0","-19"
"서구","현지인(a)","2,416,824","15,407,819","16,381,722"
"서구","외지인(b)","19,758,844","20,008,912","19,346,632"
"서구","외국인(c)","307,624","501,971","122,314"
"서구","외부방문자(b+c)","20,066,468","20,510,883","19,468,945"
"서구","전년외부방문자(b'+c')","0","20,066,468","20,510,883"
"서구","외부방문자 전년대비증감률(%)","0","2","-5"
"동구","현지인(a)","2,261,392","13,857,358","14,615,828"
"동구","외지인(b)","33,016,098","31,445,253","24,372,744"
"동구","외국인(c)","502,326","710,093","76,418"
"동구","외부방문자(b+c)","33,518,424","32,155,346","24,449,161"
"동구","전년외부방문자(b'+c')","0","33,518,424","32,155,346"
"동구","외부방문자 전년대비증감률(%)","0","-4","-24"
"영도구","현지인(a)","3,138,611","18,974,571","19,408,844"
"영도구","외지인(b)","14,724,927","16,011,296","14,597,278"
"영도구","외국인(c)","338,558","610,680","133,492"
"영도구","외부방문자(b+c)","15,063,485","16,621,976","14,730,770"
"영도구","전년외부방문자(b'+c')","0","15,063,485","16,621,976"
"영도구","외부방문자 전년대비증감률(%)","0","10","-11"
"부산진구","현지인(a)","10,261,566","61,286,054","62,758,776"
"부산진구","외지인(b)","71,094,488","72,506,812","61,365,871"
"부산진구","외국인(c)","868,729","1,181,909","99,523"
"부산진구","외부방문자(b+c)","71,963,217","73,688,721","61,465,394"
"부산진구","전년외부방문자(b'+c')","0","71,963,217","73,688,721"
"부산진구","외부방문자 전년대비증감률(%)","0","2","-17"
"동래구","현지인(a)","6,662,999","40,918,378","42,066,626"
"동래구","외지인(b)","37,635,210","37,555,672","31,873,429"
"동래구","외국인(c)","81,504","102,657","17,844"
"동래구","외부방문자(b+c)","37,716,713","37,658,329","31,891,273"
"동래구","전년외부방문자(b'+c')","0","37,716,713","37,658,329"
"동래구","외부방문자 전년대비증감률(%)","0","0","-15"
"남구","현지인(a)","7,949,305","48,026,020","47,426,967"
"남구","외지인(b)","30,387,710","30,712,622","27,017,462"
"남구","외국인(c)","258,872","447,475","159,792"
"남구","외부방문자(b+c)","30,646,582","31,160,097","27,177,255"
"남구","전년외부방문자(b'+c')","0","30,646,582","31,160,097"
"남구","외부방문자 전년대비증감률(%)","0","2","-13"
"북구","현지인(a)","6,421,065","43,016,435","48,183,482"
"북구","외지인(b)","19,572,777","21,484,844","22,552,806"
"북구","외국인(c)","39,610","52,109","11,937"
"북구","외부방문자(b+c)","19,612,387","21,536,953","22,564,744"
"북구","전년외부방문자(b'+c')","0","19,612,387","21,536,953"
"북구","외부방문자 전년대비증감률(%)","0","10","5"
"해운대구","현지인(a)","12,578,594","77,344,256","78,880,844"
"해운대구","외지인(b)","64,294,377","67,203,994","56,618,177"
"해운대구","외국인(c)","1,064,935","1,373,356","148,646"
