지역,구분,2018,2019,2020
"종로구","현지인(a)","8,900,710","48,951,570","49,936,918"
"종로구","외지인(b)","134,545,467","136,259,134","103,937,554"
"종로구","외국인(c)","3,959,773","5,625,560","518,745"
"종로구","외부방문자(b+c)","138,505,240","141,884,693","104,456,299"
"종로구","전년외부방문자(b'+c')","0","138,505,240","141,884,693"
"종로구","외부방문자 전년대비증감률(%)","0","2","-26"
"중구","현지인(a)","9,240,490","50,555,848","50,463,536"
"중구","외지인(b)","135,541,108","133,279,646","103,105,852"
"중구","외국인(c)","10,310,061","13,343,171","1,235,935"
"중구","외부방문자(b+c)","145,851,169","146,622,818","104,341,787"
"중구","전년외부방문자(b'+c')","0","145,851,169","146,622,818"
"중구","외부방문자 전년대비증감률(%)","0","1","-29"
"용산구","현지인(a)","8,570,499","48,366,164","53,800,943"
"용산구","외지인(b)","98,389,532","99,567,629","79,804,358"
"용산구","외국인(c)","2,142,804","2,978,854","330,937"
"용산구","외부방문자(b+c)","100,532,337","102,546,483","80,135,295"
"용산구","전년외부방문자(b'+c')","0","100,532,337","102,546,483"
"용산구","외부방문자 전년대비증감률(%)","0","2","-22"
"성동구","현지인(a)","9,170,413","52,729,901","56,349,576"
"성동구","외지인(b)","51,106,276","55,818,322","49,685,251"
"성동구","외국인(c)","348,346","478,758","111,367"
"성동구","외부방문자(b+c)","51,454,622","56,297,080","49,796,618"
"성동구","전년외부방문자(b'+c')","0","51,454,622","56,297,080"
"성동구","외부방문자 전년대비증감률(%)","0","9","-12"
"광진구","현지인(a)","11,673,708","65,630,792","69,700,894"
"광진구","외지인(b)","73,488,124","72,715,892","60,037,792"
"광진구","외국인(c)","438,381","511,120","114,997"
"광진구","외부방문자(b+c)","73,926,505","73,227,012","60,152,790"
"광진구","전년외부방문자(b'+c')","0","73,926,505","73,227,012"
"광진구","외부방문자 전년대비증감률(%)","0","-1","-18"
"동대문구","현지인(a)","10,490,498","58,252,764","60,297,132"
"동대문구","외지인(b)","55,464,244","56,003,962","46,799,344"
"동대문구","외국인(c)","598,053","820,901","151,377"
"동대문구","외부방문자(b+c)","56,062,298","56,824,863","46,950,720"
"동대문구","전년외부방문자(b'+c')","0","56,062,298","56,824,863"
"동대문구","외부방문자 전년대비증감률(%)","0","1","-17"
"중랑구","현지인(a)","9,735,257","56,636,486","60,572,463"
"중랑구","외지인(b)","36,027,873","37,262,998","33,006,124"
"중랑구","외국인(c)","73,799","94,298","26,699"
"중랑구","외부방문자(b+c)","36,101,672","37,357,297","33,032,823"
"중랑구","전년외부방문자(b'+c')","0","36,101,672","37,357,297"
"중랑구","외부방문자 전년대비증감률(%)","0","3","-12"
"성북구","현지인(a)","12,800,487","71,385,993","76,504,558"
"성북구","외지인(b)","50,484,676","53,798,213","43,680,430"
"성북구","외국인(c)","338,094","463,022","96,965"
"성북구","외부방문자(b+c)","50,822,769","54,261,235","43,777,396"
"성북구","전년외부방문자(b'+c')","0","50,822,769","54,261,235"
"성북구","외부방문자 전년대비증감률(%)","0","7","-19"
"강북구","현지인(a)","8,029,654","46,692,510","48,517,248"
"강북구","외지인(b)","32,978,942","34,381,994","28,927,448"
"강북구","외국인(c)","114,799","160,743","30,771"
"강북구","외부방문자(b+c)","33,093,741","34,542,738","28,958,218"
"강북구","전년외부방문자(b'+c')","0","33,093,741","34,542,738"
"강북구","외부방문자 전년대비증감률(%)","0","4","-16"
"도봉구","현지인(a)","6,773,266","39,169,095","40,883,090"
"도봉구","외지인(b)","28,976,899","31,242,463","27,829,403"
"도봉구","외국인(c)","58,515","73,466","20,348"
"도봉구","외부방문자(b+c)","29,035,414","31,315,929","27,849,751"
"도봉구","전년외부방문자(b'+c')","0","29,035,414","31,315,929"
"도봉구","외부방문자 전년대비증감률(%)","0","8","-11"
"노원구","현지인(a)","14,863,856","85,961,396","94,737,542"
"노원구","외지인(b)","52,721,876","56,674,457","49,860,052"
"노원구","외국인(c)","110,550","147,386","43,239"
"노원구","외부방문자(b+c)","52,832,425","56,821,843","49,903,290"
"노원구","전년외부방문자(b'+c')","0","52,832,425","56,821,843"
"노원구","외부방문자 전년대비증감률(%)","0","8","-12"
"은평구","현지인(a)","12,143,394","69,940,168","74,106,935"
"은평구","외지인(b)","35,401,359","39,041,474","34,115,232"
"은평구","외국인(c)","194,168","266,482","53,536"
"은평구","외부방문자(b+c)","35,595,527","39,307,956","34,168,767"
"은평구","전년외부방문자(b'+c')","0","35,595,527","39,307,956"
"은평구","외부방문자 전년대비증감률(%)","0","10","-13"
"서대문구","현지인(a)","10,494,841","58,240,357","60,828,040"
"서대문구","외지인(b)","85,388,541","88,864,534","67,529,168"
"서대문구","외국인(c)","2,814,211","3,890,400","403,596"
"서대문구","외부방문자(b+c)","88,202,752","92,754,934","67,932,764"
"서대문구","전년외부방문자(b'+c')","0","88,202,752","92,754,934"
"서대문구","외부방문자 전년대비증감률(%)","0","5","-27"
"마포구","현지인(a)","14,901,436","81,421,974","85,385,850"
"마포구","외지인(b)","119,583,471","116,726,656","95,723,610"
"마포구","외국인(c)","3,390,446","5,671,660","606,410"
