지역,구분,2018,2019,2020
"중구","현지인(a)","6,170,888","37,317,886","37,949,860"
"중구","외지인(b)","24,768,905","26,810,147","23,653,752"
"중구","외국인(c)","35,867","48,613","10,602"
"중구","외부방문자(b+c)","24,804,772","26,858,760","23,664,354"
"중구","전년외부방문자(b'+c')","0","24,804,772","26,858,760"
"중구","외부방문자 전년대비증감률(%)","0","8","-12"
"남구","현지인(a)","10,921,872","64,561,486","64,697,986"
"남구","외지인(b)","44,527,868","43,157,709","37,691,916"
"남구","외국인(c)","271,867","370,782","90,614"
"남구","외부방문자(b+c)","44,799,735","43,528,491","37,782,531"
"남구","전년외부방문자(b'+c')","0","44,799,735","43,528,491"
"남구","외부방문자 전년대비증감률(%)","0","-3","-13"
"동구","현지인(a)","4,860,870","29,090,523","28,769,612"
"동구","외지인(b)","11,905,397","12,271,147","11,490,700"
"동구","외국인(c)","236,424","356,848","79,846"
"동구","외부방문자(b+c)","12,141,821","12,627,995","11,570,546"
"동구","전년외부방문자(b'+c')","0","12,141,821","12,627,995"
"동구","외부방문자 전년대비증감률(%)","0","4","-8"
"북구","현지인(a)","5,052,946","33,293,337","34,869,121"
"북구","외지인(b)","20,357,474","22,090,590","21,067,826"
"북구","외국인(c)","131,243","270,807","112,897"
"북구","외부방문자(b+c)","20,488,716","22,361,397","21,180,724"
"북구","전년외부방문자(b'+c')","0","20,488,716","22,361,397"
"북구","외부방문자 전년대비증감률(%)","0","9","-5"
"울주군","현지인(a)","6,009,916","37,803,154","38,599,852"
"울주군","외지인(b)","28,682,976","29,189,230","28,910,665"
"울주군","외국인(c)","249,534","351,440","79,291"
"울주군","외부방문자(b+c)","28,932,510","29,540,670","28,989,956"
"울주군","전년외부방문자(b'+c')","0","28,932,510","29,540,670"
"울주군","외부방문자 전년대비증감률(%)","0","2","-2"
