지역,구분,2018,2019,2020
"중구","현지인(a)","4,440,233","26,753,884","30,793,878"
"중구","외지인(b)","55,750,030","66,481,303","44,413,110"
"중구","외국인(c)","4,677,649","7,041,546","1,586,279"
"중구","외부방문자(b+c)","60,427,679","73,522,849","45,999,389"
"중구","전년외부방문자(b'+c')","0","60,427,679","73,522,849"
"중구","외부방문자 전년대비증감률(%)","0","22","-37"
"동구","현지인(a)","1,459,556","7,840,112","8,208,676"
"동구","외지인(b)","8,803,924","9,153,291","8,231,870"
"동구","외국인(c)","39,069","52,820","34,163"
"동구","외부방문자(b+c)","8,842,994","9,206,111","8,266,033"
"동구","전년외부방문자(b'+c')","0","8,842,994","9,206,111"
"동구","외부방문자 전년대비증감률(%)","0","4","-10"
"남구","현지인(a)","670,106","0","0"
"남구","외지인(b)","35,426,776","0","0"
"남구","외국인(c)","125,534","0","0"
"남구","외부방문자(b+c)","35,552,310","0","0"
"남구","전년외부방문자(b'+c')","0","35,552,310","0"
"남구","외부방문자 전년대비증감률(%)","0","-100","0"
"미추홀구","현지인(a)","5,251,743","57,996,586","61,333,744"
"미추홀구","외지인(b)","7,229,138","48,415,154","39,734,464"
"미추홀구","외국인(c)","32,783","185,801","56,007"
"미추홀구","외부방문자(b+c)","7,261,921","48,600,955","39,790,471"
"미추홀구","전년외부방문자(b'+c')","0","7,261,921","48,600,955"
"미추홀구","외부방문자 전년대비증감률(%)","0","569","-18"
"연수구","현지인(a)","9,804,448","56,594,356","64,629,610"
"연수구","외지인(b)","37,733,899","41,423,666","36,012,088"
"연수구","외국인(c)","512,341","590,006","180,454"
"연수구","외부방문자(b+c)","38,246,240","42,013,672","36,192,542"
"연수구","전년외부방문자(b'+c')","0","38,246,240","42,013,672"
"연수구","외부방문자 전년대비증감률(%)","0","10","-14"
"남동구","현지인(a)","11,754,918","67,933,789","74,725,598"
"남동구","외지인(b)","48,557,019","53,820,361","48,796,328"
"남동구","외국인(c)","321,499","474,514","98,724"
"남동구","외부방문자(b+c)","48,878,518","54,294,875","48,895,052"
"남동구","전년외부방문자(b'+c')","0","48,878,518","54,294,875"
"남동구","외부방문자 전년대비증감률(%)","0","11","-10"
"부평구","현지인(a)","13,109,820","71,750,252","74,905,106"
"부평구","외지인(b)","51,548,966","53,344,599","44,610,786"
"부평구","외국인(c)","239,403","234,379","82,176"
"부평구","외부방문자(b+c)","51,788,369","53,578,978","44,692,963"
"부평구","전년외부방문자(b'+c')","0","51,788,369","53,578,978"
"부평구","외부방문자 전년대비증감률(%)","0","3","-17"
"계양구","현지인(a)","7,171,808","39,510,712","41,356,406"
"계양구","외지인(b)","28,139,940","28,668,409","25,609,608"
"계양구","외국인(c)","121,926","148,959","35,558"
"계양구","외부방문자(b+c)","28,261,867","28,817,368","25,645,166"
"계양구","전년외부방문자(b'+c')","0","28,261,867","28,817,368"
"계양구","외부방문자 전년대비증감률(%)","0","2","-11"
"서구","현지인(a)","14,928,490","88,846,272","96,229,952"
"서구","외지인(b)","41,231,617","49,594,083","45,189,462"
"서구","외국인(c)","261,226","379,433","121,266"
"서구","외부방문자(b+c)","41,492,843","49,973,516","45,310,729"
"서구","전년외부방문자(b'+c')","0","41,492,843","49,973,516"
"서구","외부방문자 전년대비증감률(%)","0","20","-9"
"강화군","현지인(a)","2,309,108","13,460,052","15,673,262"
"강화군","외지인(b)","14,054,982","14,958,006","15,109,510"
"강화군","외국인(c)","28,791","56,194","14,829"
"강화군","외부방문자(b+c)","14,083,773","15,014,200","15,124,339"
"강화군","전년외부방문자(b'+c')","0","14,083,773","15,014,200"
"강화군","외부방문자 전년대비증감률(%)","0","7","1"
"옹진군","현지인(a)","454,948","2,684,798","3,070,270"
"옹진군","외지인(b)","4,749,276","5,125,774","5,734,764"
"옹진군","외국인(c)","193,319","436,852","192,843"
"옹진군","외부방문자(b+c)","4,942,595","5,562,626","5,927,607"
"옹진군","전년외부방문자(b'+c')","0","4,942,595","5,562,626"
"옹진군","외부방문자 전년대비증감률(%)","0","13","7"
