지역,구분,2018,2019,2020
"목포시","현지인(a)","9,248,442","54,444,733","52,771,778"
"목포시","외지인(b)","22,355,070","23,609,856","21,274,212"
"목포시","외국인(c)","68,942","99,406","24,089"
"목포시","외부방문자(b+c)","22,424,013","23,709,261","21,298,301"
"목포시","전년외부방문자(b'+c')","0","22,424,013","23,709,261"
"목포시","외부방문자 전년대비증감률(%)","0","6","-10"
"여수시","현지인(a)","7,271,138","43,666,822","46,236,754"
"여수시","외지인(b)","22,813,280","23,939,430","23,361,398"
"여수시","외국인(c)","548,301","809,057","206,529"
"여수시","외부방문자(b+c)","23,361,581","24,748,486","23,567,927"
"여수시","전년외부방문자(b'+c')","0","23,361,581","24,748,486"
"여수시","외부방문자 전년대비증감률(%)","0","6","-5"
"순천시","현지인(a)","7,925,603","46,748,492","47,803,458"
"순천시","외지인(b)","22,301,990","22,752,034","20,815,408"
"순천시","외국인(c)","60,784","76,686","15,308"
"순천시","외부방문자(b+c)","22,362,774","22,828,719","20,830,716"
"순천시","전년외부방문자(b'+c')","0","22,362,774","22,828,719"
"순천시","외부방문자 전년대비증감률(%)","0","2","-9"
"나주시","현지인(a)","3,132,462","19,911,143","20,457,342"
"나주시","외지인(b)","13,874,329","14,782,526","14,194,281"
"나주시","외국인(c)","40,392","63,102","6,681"
"나주시","외부방문자(b+c)","13,914,721","14,845,628","14,200,962"
"나주시","전년외부방문자(b'+c')","0","13,914,721","14,845,628"
"나주시","외부방문자 전년대비증감률(%)","0","7","-4"
"광양시","현지인(a)","3,654,448","21,772,138","21,743,435"
"광양시","외지인(b)","12,060,538","12,304,044","11,375,015"
"광양시","외국인(c)","122,336","183,112","54,792"
"광양시","외부방문자(b+c)","12,182,874","12,487,155","11,429,807"
"광양시","전년외부방문자(b'+c')","0","12,182,874","12,487,155"
"광양시","외부방문자 전년대비증감률(%)","0","2","-8"
"담양군","현지인(a)","1,174,880","7,195,594","7,560,966"
"담양군","외지인(b)","13,408,444","13,458,774","12,983,658"
"담양군","외국인(c)","17,498","25,902","2,917"
"담양군","외부방문자(b+c)","13,425,942","13,484,676","12,986,575"
"담양군","전년외부방문자(b'+c')","0","13,425,942","13,484,676"
"담양군","외부방문자 전년대비증감률(%)","0","0","-4"
"곡성군","현지인(a)","681,758","4,224,748","4,416,178"
"곡성군","외지인(b)","4,895,138","5,172,668","4,542,943"
"곡성군","외국인(c)","5,571","8,995","1,153"
"곡성군","외부방문자(b+c)","4,900,709","5,181,663","4,544,097"
"곡성군","전년외부방문자(b'+c')","0","4,900,709","5,181,663"
"곡성군","외부방문자 전년대비증감률(%)","0","6","-12"
"구례군","현지인(a)","662,340","4,043,970","4,191,380"
"구례군","외지인(b)","5,307,351","5,476,114","4,495,391"
"구례군","외국인(c)","11,530","13,942","820"
"구례군","외부방문자(b+c)","5,318,881","5,490,056","4,496,211"
"구례군","전년외부방문자(b'+c')","0","5,318,881","5,490,056"
"구례군","외부방문자 전년대비증감률(%)","0","3","-18"
"고흥군","현지인(a)","1,205,673","7,493,958","7,990,143"
"고흥군","외지인(b)","5,288,812","5,513,014","5,889,035"
"고흥군","외국인(c)","21,799","30,349","3,875"
"고흥군","외부방문자(b+c)","5,310,611","5,543,364","5,892,910"
"고흥군","전년외부방문자(b'+c')","0","5,310,611","5,543,364"
"고흥군","외부방문자 전년대비증감률(%)","0","4","6"
"보성군","현지인(a)","938,326","5,764,322","6,067,638"
"보성군","외지인(b)","6,232,930","6,576,059","6,007,506"
"보성군","외국인(c)","16,265","21,656","1,699"
"보성군","외부방문자(b+c)","6,249,195","6,597,715","6,009,204"
"보성군","전년외부방문자(b'+c')","0","6,249,195","6,597,715"
"보성군","외부방문자 전년대비증감률(%)","0","6","-9"
"화순군","현지인(a)","1,974,872","11,967,910","12,160,746"
"화순군","외지인(b)","11,108,167","11,632,677","10,926,635"
"화순군","외국인(c)","15,724","18,434","2,917"
"화순군","외부방문자(b+c)","11,123,891","11,651,111","10,929,553"
"화순군","전년외부방문자(b'+c')","0","11,123,891","11,651,111"
"화순군","외부방문자 전년대비증감률(%)","0","5","-6"
"장흥군","현지인(a)","1,222,893","7,557,732","7,965,492"
"장흥군","외지인(b)","4,616,252","4,712,208","4,404,072"
"장흥군","외국인(c)","9,435","11,634","1,581"
"장흥군","외부방문자(b+c)","4,625,687","4,723,841","4,405,653"
"장흥군","전년외부방문자(b'+c')","0","4,625,687","4,723,841"
"장흥군","외부방문자 전년대비증감률(%)","0","2","-7"
"강진군","현지인(a)","1,074,787","6,606,880","7,088,708"
"강진군","외지인(b)","5,352,980","5,392,807","4,809,154"
"강진군","외국인(c)","9,188","12,721","1,225"
"강진군","외부방문자(b+c)","5,362,168","5,405,528","4,810,379"
"강진군","전년외부방문자(b'+c')","0","5,362,168","5,405,528"
"강진군","외부방문자 전년대비증감률(%)","0","1","-11"
"해남군","현지인(a)","1,558,764","9,660,525","10,498,754"
"해남군","외지인(b)","7,453,761","7,829,297","7,473,544"
"해남군","외국인(c)","48,689","57,779","4,962"
"해남군","외부방문자(b+c)","7,502,450","7,887,076","7,478,506"
"해남군","전년외부방문자(b'+c')","0","7,502,450","7,887,076"
"해남군","외부방문자 전년대비증감률(%)","0","5","-5"
"영암군","현지인(a)","1,716,600","10,506,492","11,157,626"
"영암군","외지인(b)","8,842,855","9,244,526","8,985,748"
"영암군","외국인(c)","72,200","78,113","9,435"
"영암군","외부방문자(b+c)","8,915,055","9,322,639","8,995,183"
"영암군","전년외부방문자(b'+c')","0","8,915,055","9,322,639"
"영암군","외부방문자 전년대비증감률(%)","0","5","-4"
"무안군","현지인(a)","1,910,209","11,561,980","11,600,456"
"무안군","외지인(b)","12,418,301","13,373,098","12,297,747"
"무안군","외국인(c)","38,495","59,234","5,464"
"무안군","외부방문자(b+c)","12,456,796","13,432,331","12,303,210"
"무안군","전년외부방문자(b'+c')","0","12,456,796","13,432,331"
"무안군","외부방문자 전년대비증감률(%)","0","8","-8"
"함평군","현지인(a)","612,818","3,799,030","3,928,634"
"함평군","외지인(b)","5,343,051","5,786,848","5,362,324"
"함평군","외국인(c)","8,990","11,773","1,628"
"함평군","외부방문자(b+c)","5,352,041","5,798,621","5,363,952"
"함평군","전년외부방문자(b'+c')","0","5,352,041","5,798,621"
"함평군","외부방문자 전년대비증감률(%)","0","8","-8"
"영광군","현지인(a)","1,498,721","9,315,162","10,111,056"
"영광군","외지인(b)","6,385,250","6,696,200","6,785,768"
"영광군","외국인(c)","55,747","70,442","16,986"
"영광군","외부방문자(b+c)","6,440,996","6,766,642","6,802,754"
"영광군","전년외부방문자(b'+c')","0","6,440,996","6,766,642"
"영광군","외부방문자 전년대비증감률(%)","0","5","1"
"장성군","현지인(a)","1,021,188","6,642,272","7,048,836"
"장성군","외지인(b)","8,040,207","8,905,323","8,588,144"
"장성군","외국인(c)","13,723","20,156","2,715"
"장성군","외부방문자(b+c)","8,053,930","8,925,479","8,590,858"
"장성군","전년외부방문자(b'+c')","0","8,053,930","8,925,479"
"장성군","외부방문자 전년대비증감률(%)","0","11","-4"
"완도군","현지인(a)","1,501,952","9,139,218","9,857,176"
"완도군","외지인(b)","5,317,294","5,537,612","5,214,910"
"완도군","외국인(c)","131,006","166,087","35,419"
"완도군","외부방문자(b+c)","5,448,300","5,703,699","5,250,329"
"완도군","전년외부방문자(b'+c')","0","5,448,300","5,703,699"
"완도군","외부방문자 전년대비증감률(%)","0","5","-8"
"진도군","현지인(a)","711,396","4,476,318","4,845,127"
"진도군","외지인(b)","3,377,766","4,021,248","4,170,314"
"진도군","외국인(c)","102,681","165,370","38,399"
"진도군","외부방문자(b+c)","3,480,447","4,186,618","4,208,713"
"진도군","전년외부방문자(b'+c')","0","3,480,447","4,186,618"
"진도군","외부방문자 전년대비증감률(%)","0","20","1"
"신안군","현지인(a)","610,162","4,067,665","4,529,808"
"신안군","외지인(b)","4,370,502","5,966,226","5,680,101"
"신안군","외국인(c)","389,760","570,741","143,516"
"신안군","외부방문자(b+c)","4,760,262","6,536,967","5,823,617"
"신안군","전년외부방문자(b'+c')","0","4,760,262","6,536,967"
"신안군","외부방문자 전년대비증감률(%)","0","37","-11"
