지역,구분,2018,2019,2020
"전주시 완산구","현지인(a)","12,083,582","68,586,721","65,936,465"
"전주시 완산구","외지인(b)","41,297,403","39,789,351","33,373,772"
"전주시 완산구","외국인(c)","146,220","193,793","31,404"
"전주시 완산구","외부방문자(b+c)","41,443,623","39,983,144","33,405,176"
"전주시 완산구","전년외부방문자(b'+c')","0","41,443,623","39,983,144"
"전주시 완산구","외부방문자 전년대비증감률(%)","0","-4","-16"
"전주시 덕진구","현지인(a)","8,906,930","54,085,552","52,760,802"
"전주시 덕진구","외지인(b)","33,287,706","33,741,407","29,571,156"
"전주시 덕진구","외국인(c)","77,678","95,578","24,074"
"전주시 덕진구","외부방문자(b+c)","33,365,384","33,836,985","29,595,230"
"전주시 덕진구","전년외부방문자(b'+c')","0","33,365,384","33,836,985"
"전주시 덕진구","외부방문자 전년대비증감률(%)","0","1","-13"
"군산시","현지인(a)","10,332,850","61,363,214","61,124,976"
"군산시","외지인(b)","22,728,282","23,651,268","21,534,697"
"군산시","외국인(c)","209,028","342,279","104,539"
"군산시","외부방문자(b+c)","22,937,311","23,993,546","21,639,236"
"군산시","전년외부방문자(b'+c')","0","22,937,311","23,993,546"
"군산시","외부방문자 전년대비증감률(%)","0","5","-10"
"익산시","현지인(a)","10,676,449","61,956,482","59,809,974"
"익산시","외지인(b)","21,528,185","22,542,065","20,682,953"
"익산시","외국인(c)","73,290","88,611","19,416"
"익산시","외부방문자(b+c)","21,601,475","22,630,676","20,702,369"
"익산시","전년외부방문자(b'+c')","0","21,601,475","22,630,676"
"익산시","외부방문자 전년대비증감률(%)","0","5","-9"
"정읍시","현지인(a)","2,977,384","18,254,495","18,630,056"
"정읍시","외지인(b)","10,284,676","11,600,134","10,135,432"
"정읍시","외국인(c)","38,244","54,963","5,609"
"정읍시","외부방문자(b+c)","10,322,921","11,655,097","10,141,040"
"정읍시","전년외부방문자(b'+c')","0","10,322,921","11,655,097"
"정읍시","외부방문자 전년대비증감률(%)","0","13","-13"
"남원시","현지인(a)","2,558,794","15,577,772","16,155,912"
"남원시","외지인(b)","9,371,824","9,638,794","8,528,045"
"남원시","외국인(c)","23,707","24,382","4,302"
"남원시","외부방문자(b+c)","9,395,531","9,663,175","8,532,348"
"남원시","전년외부방문자(b'+c')","0","9,395,531","9,663,175"
"남원시","외부방문자 전년대비증감률(%)","0","3","-12"
"김제시","현지인(a)","2,017,491","12,463,182","12,830,132"
"김제시","외지인(b)","10,095,222","10,475,826","10,590,049"
"김제시","외국인(c)","24,047","32,507","5,214"
"김제시","외부방문자(b+c)","10,119,269","10,508,332","10,595,263"
"김제시","전년외부방문자(b'+c')","0","10,119,269","10,508,332"
"김제시","외부방문자 전년대비증감률(%)","0","4","1"
"완주군","현지인(a)","1,575,315","9,889,128","10,049,778"
"완주군","외지인(b)","16,344,398","17,442,786","16,291,496"
"완주군","외국인(c)","44,538","64,065","11,947"
"완주군","외부방문자(b+c)","16,388,936","17,506,850","16,303,442"
"완주군","전년외부방문자(b'+c')","0","16,388,936","17,506,850"
"완주군","외부방문자 전년대비증감률(%)","0","7","-7"
"진안군","현지인(a)","367,857","2,570,312","3,164,458"
"진안군","외지인(b)","4,120,599","4,300,240","4,201,730"
"진안군","외국인(c)","9,405","13,691","1,119"
"진안군","외부방문자(b+c)","4,130,004","4,313,931","4,202,849"
"진안군","전년외부방문자(b'+c')","0","4,130,004","4,313,931"
"진안군","외부방문자 전년대비증감률(%)","0","4","-3"
"무주군","현지인(a)","628,187","4,050,434","4,245,154"
"무주군","외지인(b)","7,915,047","7,704,168","6,353,797"
"무주군","외국인(c)","22,457","32,429","2,905"
"무주군","외부방문자(b+c)","7,937,504","7,736,598","6,356,702"
"무주군","전년외부방문자(b'+c')","0","7,937,504","7,736,598"
"무주군","외부방문자 전년대비증감률(%)","0","-3","-18"
"장수군","현지인(a)","451,742","2,957,896","3,344,512"
"장수군","외지인(b)","2,740,182","2,809,331","2,646,563"
"장수군","외국인(c)","3,893","5,862","669"
"장수군","외부방문자(b+c)","2,744,075","2,815,193","2,647,232"
"장수군","전년외부방문자(b'+c')","0","2,744,075","2,815,193"
"장수군","외부방문자 전년대비증감률(%)","0","3","-6"
"임실군","현지인(a)","415,790","2,754,094","2,976,228"
