지역,구분,2018,2019,2020
"천안시 동남구","현지인(a)","7,436,037","43,767,048","41,447,525"
"천안시 동남구","외지인(b)","45,157,312","45,702,780","36,711,759"
"천안시 동남구","외국인(c)","145,422","179,544","36,368"
"천안시 동남구","외부방문자(b+c)","45,302,734","45,882,324","36,748,127"
"천안시 동남구","전년외부방문자(b'+c')","0","45,302,734","45,882,324"
"천안시 동남구","외부방문자 전년대비증감률(%)","0","1","-20"
"천안시 서북구","현지인(a)","7,403,102","46,430,548","43,062,162"
"천안시 서북구","외지인(b)","37,540,038","38,271,961","32,982,243"
"천안시 서북구","외국인(c)","170,912","198,430","52,720"
"천안시 서북구","외부방문자(b+c)","37,710,949","38,470,391","33,034,963"
"천안시 서북구","전년외부방문자(b'+c')","0","37,710,949","38,470,391"
"천안시 서북구","외부방문자 전년대비증감률(%)","0","2","-14"
"공주시","현지인(a)","2,739,166","16,208,507","15,994,836"
"공주시","외지인(b)","25,486,048","26,713,526","22,781,356"
"공주시","외국인(c)","50,995","76,181","11,318"
"공주시","외부방문자(b+c)","25,537,043","26,789,707","22,792,674"
"공주시","전년외부방문자(b'+c')","0","25,537,043","26,789,707"
"공주시","외부방문자 전년대비증감률(%)","0","5","-15"
"보령시","현지인(a)","3,567,372","21,940,768","24,331,618"
"보령시","외지인(b)","15,018,468","15,764,014","15,026,560"
"보령시","외국인(c)","68,864","133,799","38,994"
"보령시","외부방문자(b+c)","15,087,332","15,897,813","15,065,554"
"보령시","전년외부방문자(b'+c')","0","15,087,332","15,897,813"
"보령시","외부방문자 전년대비증감률(%)","0","5","-5"
"아산시","현지인(a)","8,527,344","51,485,056","52,782,236"
"아산시","외지인(b)","31,056,837","31,481,982","29,130,206"
"아산시","외국인(c)","158,001","205,563","48,850"
"아산시","외부방문자(b+c)","31,214,838","31,687,545","29,179,056"
"아산시","전년외부방문자(b'+c')","0","31,214,838","31,687,545"
"아산시","외부방문자 전년대비증감률(%)","0","2","-8"
"서산시","현지인(a)","5,501,727","33,981,720","35,367,829"
"서산시","외지인(b)","17,180,989","18,163,078","17,158,544"
"서산시","외국인(c)","101,383","135,439","39,294"
"서산시","외부방문자(b+c)","17,282,372","18,298,518","17,197,837"
"서산시","전년외부방문자(b'+c')","0","17,282,372","18,298,518"
"서산시","외부방문자 전년대비증감률(%)","0","6","-6"
"논산시","현지인(a)","3,617,096","22,498,945","23,972,242"
"논산시","외지인(b)","13,983,186","15,101,695","14,007,360"
"논산시","외국인(c)","43,451","64,782","9,686"
"논산시","외부방문자(b+c)","14,026,637","15,166,477","14,017,047"
"논산시","전년외부방문자(b'+c')","0","14,026,637","15,166,477"
"논산시","외부방문자 전년대비증감률(%)","0","8","-8"
"계룡시","현지인(a)","1,251,565","7,790,335","8,304,502"
"계룡시","외지인(b)","4,371,388","4,756,000","4,559,048"
"계룡시","외국인(c)","6,534","9,335","1,810"
"계룡시","외부방문자(b+c)","4,377,922","4,765,335","4,560,858"
"계룡시","전년외부방문자(b'+c')","0","4,377,922","4,765,335"
"계룡시","외부방문자 전년대비증감률(%)","0","9","-4"
"당진시","현지인(a)","5,261,602","31,408,902","36,339,919"
"당진시","외지인(b)","16,307,652","18,560,668","18,878,356"
"당진시","외국인(c)","139,083","190,025","58,761"
"당진시","외부방문자(b+c)","16,446,734","18,750,693","18,937,117"
"당진시","전년외부방문자(b'+c')","0","16,446,734","18,750,693"
"당진시","외부방문자 전년대비증감률(%)","0","14","1"
"금산군","현지인(a)","1,804,450","11,103,564","11,818,474"
"금산군","외지인(b)","9,665,246","10,072,730","9,043,052"
"금산군","외국인(c)","30,990","44,960","5,278"
"금산군","외부방문자(b+c)","9,696,237","10,117,690","9,048,329"
"금산군","전년외부방문자(b'+c')","0","9,696,237","10,117,690"
"금산군","외부방문자 전년대비증감률(%)","0","4","-11"
"부여군","현지인(a)","2,531,298","15,630,906","16,216,126"
"부여군","외지인(b)","10,074,592","10,653,419","9,705,818"
"부여군","외국인(c)","24,833","35,181","3,359"
"부여군","외부방문자(b+c)","10,099,426","10,688,600","9,709,178"
"부여군","전년외부방문자(b'+c')","0","10,099,426","10,688,600"
"부여군","외부방문자 전년대비증감률(%)","0","6","-9"
"서천군","현지인(a)","1,803,672","11,225,890","12,294,471"
"서천군","외지인(b)","8,256,532","9,153,644","8,942,696"
"서천군","외국인(c)","18,561","31,532","6,669"
"서천군","외부방문자(b+c)","8,275,092","9,185,177","8,949,365"
"서천군","전년외부방문자(b'+c')","0","8,275,092","9,185,177"
"서천군","외부방문자 전년대비증감률(%)","0","11","-3"
"청양군","현지인(a)","821,674","5,186,986","5,428,090"
"청양군","외지인(b)","4,489,541","4,618,201","4,171,013"
"청양군","외국인(c)","5,871","8,215","1,455"
"청양군","외부방문자(b+c)","4,495,412","4,626,416","4,172,468"
"청양군","전년외부방문자(b'+c')","0","4,495,412","4,626,416"
"청양군","외부방문자 전년대비증감률(%)","0","3","-10"
"홍성군","현지인(a)","2,954,872","17,730,478","18,478,229"
"홍성군","외지인(b)","11,360,818","11,889,272","11,010,562"
"홍성군","외국인(c)","24,496","30,061","6,513"
"홍성군","외부방문자(b+c)","11,385,314","11,919,333","11,017,075"
"홍성군","전년외부방문자(b'+c')","0","11,385,314","11,919,333"
"홍성군","외부방문자 전년대비증감률(%)","0","5","-8"
"예산군","현지인(a)","2,592,972","16,163,214","17,056,144"
"예산군","외지인(b)","11,831,904","14,081,540","12,583,826"
"예산군","외국인(c)","25,646","34,965","5,123"
"예산군","외부방문자(b+c)","11,857,550","14,116,505","12,588,950"
"예산군","전년외부방문자(b'+c')","0","11,857,550","14,116,505"
"예산군","외부방문자 전년대비증감률(%)","0","19","-11"
"태안군","현지인(a)","2,626,057","16,381,410","17,888,930"
"태안군","외지인(b)","13,695,784","14,734,304","15,421,746"
"태안군","외국인(c)","258,965","519,463","107,682"
"태안군","외부방문자(b+c)","13,954,748","15,253,767","15,529,428"
"태안군","전년외부방문자(b'+c')","0","13,954,748","15,253,767"
"태안군","외부방문자 전년대비증감률(%)","0","9","2"
