지역,구분,2018,2019,2020
"청주시 상당구","현지인(a)","4,810,480","29,428,035","29,780,128"
"청주시 상당구","외지인(b)","29,459,790","29,983,216","27,707,932"
"청주시 상당구","외국인(c)","37,201","47,427","11,904"
"청주시 상당구","외부방문자(b+c)","29,496,991","30,030,642","27,719,836"
"청주시 상당구","전년외부방문자(b'+c')","0","29,496,991","30,030,642"
"청주시 상당구","외부방문자 전년대비증감률(%)","0","2","-8"
"청주시 서원구","현지인(a)","5,805,202","34,466,446","32,445,588"
"청주시 서원구","외지인(b)","31,024,294","31,023,629","27,641,246"
"청주시 서원구","외국인(c)","46,067","60,218","22,687"
"청주시 서원구","외부방문자(b+c)","31,070,361","31,083,847","27,663,933"
"청주시 서원구","전년외부방문자(b'+c')","0","31,070,361","31,083,847"
"청주시 서원구","외부방문자 전년대비증감률(%)","0","0","-11"
"청주시 흥덕구","현지인(a)","6,488,906","40,284,184","40,698,021"
"청주시 흥덕구","외지인(b)","33,420,163","33,637,226","30,462,551"
"청주시 흥덕구","외국인(c)","114,246","139,989","31,676"
"청주시 흥덕구","외부방문자(b+c)","33,534,409","33,777,215","30,494,227"
"청주시 흥덕구","전년외부방문자(b'+c')","0","33,534,409","33,777,215"
"청주시 흥덕구","외부방문자 전년대비증감률(%)","0","1","-10"
"청주시 청원구","현지인(a)","5,023,424","30,697,292","30,040,605"
"청주시 청원구","외지인(b)","24,945,644","26,030,680","22,613,409"
"청주시 청원구","외국인(c)","101,564","139,989","27,990"
"청주시 청원구","외부방문자(b+c)","25,047,208","26,170,669","22,641,399"
"청주시 청원구","전년외부방문자(b'+c')","0","25,047,208","26,170,669"
"청주시 청원구","외부방문자 전년대비증감률(%)","0","4","-13"
"충주시","현지인(a)","8,396,318","50,557,798","50,722,231"
"충주시","외지인(b)","22,583,008","23,403,538","20,532,306"
"충주시","외국인(c)","71,202","99,827","19,746"
"충주시","외부방문자(b+c)","22,654,210","23,503,365","20,552,051"
"충주시","전년외부방문자(b'+c')","0","22,654,210","23,503,365"
"충주시","외부방문자 전년대비증감률(%)","0","4","-13"
"제천시","현지인(a)","3,417,606","20,675,680","20,684,646"
"제천시","외지인(b)","13,109,649","13,675,704","11,825,415"
"제천시","외국인(c)","24,713","36,554","13,303"
"제천시","외부방문자(b+c)","13,134,362","13,712,258","11,838,718"
"제천시","전년외부방문자(b'+c')","0","13,134,362","13,712,258"
"제천시","외부방문자 전년대비증감률(%)","0","4","-14"
"보은군","현지인(a)","913,066","5,646,711","5,860,372"
"보은군","외지인(b)","7,367,006","6,281,114","5,487,430"
"보은군","외국인(c)","14,489","22,273","3,088"
"보은군","외부방문자(b+c)","7,381,496","6,303,387","5,490,518"
"보은군","전년외부방문자(b'+c')","0","7,381,496","6,303,387"
"보은군","외부방문자 전년대비증감률(%)","0","-15","-13"
"옥천군","현지인(a)","1,777,860","10,975,010","11,539,560"
"옥천군","외지인(b)","10,612,136","10,661,175","9,489,053"
"옥천군","외국인(c)","18,612","25,003","5,182"
"옥천군","외부방문자(b+c)","10,630,748","10,686,178","9,494,235"
"옥천군","전년외부방문자(b'+c')","0","10,630,748","10,686,178"
"옥천군","외부방문자 전년대비증감률(%)","0","1","-11"
"영동군","현지인(a)","1,671,582","10,088,026","10,396,715"
"영동군","외지인(b)","6,082,556","6,595,368","5,873,864"
"영동군","외국인(c)","10,690","15,361","2,672"
"영동군","외부방문자(b+c)","6,093,246","6,610,730","5,876,537"
"영동군","전년외부방문자(b'+c')","0","6,093,246","6,610,730"
"영동군","외부방문자 전년대비증감률(%)","0","8","-11"
"증평군","현지인(a)","1,307,106","7,951,608","8,277,612"
"증평군","외지인(b)","5,051,680","5,470,927","5,360,142"
"증평군","외국인(c)","13,565","18,524","2,837"
"증평군","외부방문자(b+c)","5,065,244","5,489,451","5,362,979"
"증평군","전년외부방문자(b'+c')","0","5,065,244","5,489,451"
"증평군","외부방문자 전년대비증감률(%)","0","8","-2"
"진천군","현지인(a)","2,324,480","13,966,628","14,092,771"
"진천군","외지인(b)","10,871,340","11,141,627","11,030,649"
"진천군","외국인(c)","71,681","82,975","13,534"
"진천군","외부방문자(b+c)","10,943,020","11,224,602","11,044,183"
"진천군","전년외부방문자(b'+c')","0","10,943,020","11,224,602"
"진천군","외부방문자 전년대비증감률(%)","0","3","-2"
"괴산군","현지인(a)","827,676","5,175,488","5,532,422"
"괴산군","외지인(b)","8,397,568","8,942,430","8,539,139"
"괴산군","외국인(c)","21,268","32,326","6,175"
"괴산군","외부방문자(b+c)","8,418,836","8,974,756","8,545,314"
"괴산군","전년외부방문자(b'+c')","0","8,418,836","8,974,756"
"괴산군","외부방문자 전년대비증감률(%)","0","7","-5"
"음성군","현지인(a)","2,955,414","18,659,417","19,301,100"
"음성군","외지인(b)","14,875,956","15,412,828","14,713,720"
"음성군","외국인(c)","109,932","142,228","27,094"
"음성군","외부방문자(b+c)","14,985,887","15,555,055","14,740,814"
"음성군","전년외부방문자(b'+c')","0","14,985,887","15,555,055"
"음성군","외부방문자 전년대비증감률(%)","0","4","-5"
"단양군","현지인(a)","856,366","5,367,240","5,563,418"
"단양군","외지인(b)","8,263,087","8,439,722","6,762,441"
"단양군","외국인(c)","19,876","27,191","2,829"
"단양군","외부방문자(b+c)","8,282,963","8,466,913","6,765,270"
"단양군","전년외부방문자(b'+c')","0","8,282,963","8,466,913"
"단양군","외부방문자 전년대비증감률(%)","0","2","-20"
