"행정구역(시군구)별",2019. 12,2019. 12,2019. 12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51849861,25864816,25985045
"서울특별시",9729107,4744059,4985048
"부산광역시",3413841,1675417,1738424
"대구광역시",2438031,1205286,1232745
"인천광역시",2957026,1482249,1474777
"광주광역시",1456468,720740,735728
"대전광역시",1474870,736607,738263
"울산광역시",1148019,589712,558307
"세종특별자치시",340575,169845,170730
"경기도",13239666,6659995,6579671
"강원도",1541502,775386,766116
"충청북도",1600007,810384,789623
"충청남도",2123709,1081938,1041771
"전라북도",1818917,904110,914807
"전라남도",1868745,937674,931071
"경상북도",2665836,1342037,1323799
"경상남도",3362553,1692032,1670521
"제주특별자치도",670989,337345,333644
